"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,1.813755,2.369975,2.780622,5.365415,2.780622,5.365415
"doxy",1,2.714252,1.866884,-0.575142,-0.584169,-0.575142,-0.584169
"oxy",9,-0.217388,-14.4433,-0.355703,-34.8991,-0.355703,-34.8991
"doxy",9,-0.056644,-6.97046,-0.134494,-24.44051,-0.134494,-24.44051
"oxy",2,-0.239268,-20.38521,-0.178905,-22.50863,-0.178905,-22.50863
"doxy",2,0.083694,22.94549,0.007582,3.069526,0.007582,3.069526
"oxy",10,-0.139719,-13.16504,-0.296488,-41.25439,-0.296488,-41.25439
"doxy",10,-0.081256,-16.9781,-0.070811,-21.84875,-0.070811,-21.84875
"oxy",3,-0.234758,-19.04759,-0.20731,-24.83902,-0.20731,-24.83902
"doxy",3,0.01658,4.002344,-0.016484,-5.875967,-0.016484,-5.875967
"oxy",11,-0.125019,-9.591852,-0.236539,-26.79955,-0.236539,-26.79955
"doxy",11,0.063281,14.49271,-0.055918,-18.91142,-0.055918,-18.91142
"oxy",4,0.150035,19.42765,-0.031351,-5.99484,-0.031351,-5.99484
"doxy",4,0.065081,20.54025,0.0521,24.2823,0.0521,24.2823
"oxy",12,-0.002632,-0.250168,-0.048302,-6.780096,-0.048302,-6.780096
"doxy",12,-0.082264,-25.14419,0.047958,21.6461,0.047958,21.6461
"oxy",5,-0.426086,-19.736,-0.494497,-33.82381,-0.494497,-33.82381
"doxy",5,-0.206014,-16.99694,-0.174625,-21.27541,-0.174625,-21.27541
"oxy",13,-0.395703,-30.90337,-0.178184,-20.54951,-0.178184,-20.54951
"doxy",13,0.074228,17.54124,-0.038128,-13.30544,-0.038128,-13.30544
"oxy",6,0.399832,21.37254,0.009502,0.750033,0.009502,0.750033
"doxy",6,0.219399,30.80562,0.078275,16.22985,0.078275,16.22985
"oxy",14,0.122551,35.31268,-0.057771,-24.58218,-0.057771,-24.58218
"doxy",14,-0.054335,-7.889923,0.086517,18.55199,0.086517,18.55199
"oxy",7,-0.312851,-14.08511,-0.592161,-39.36939,-0.592161,-39.36939
"doxy",7,0.023179,2.520734,-0.166485,-26.73693,-0.166485,-26.73693
"oxy",15,-0.559187,-32.70621,-0.302859,-26.15831,-0.302859,-26.15831
"doxy",15,-0.044833,-6.602515,-0.05711,-12.41989,-0.05711,-12.41989
"oxy",8,-0.43696,-19.30429,-0.668343,-43.60214,-0.668343,-43.60214
"doxy",8,-0.242996,-15.95533,-0.333578,-32.34442,-0.333578,-32.34442
"oxy",16,-0.292497,-23.59936,-0.205159,-24.44368,-0.205159,-24.44368
"doxy",16,-0.008905,-1.462215,0.040493,9.81841,0.040493,9.81841
