"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.53517,-31.51471,-0.453123,-13.97005,0.012264,0.366188,-0.465387,-20.28552
"doxy",1,-0.060309,-4.174077,-0.209303,-7.584211,-0.114618,-4.022467,-0.094685,-4.850708
"oxy",9,0.45485,31.7097,0.317018,11.57093,-0.023185,-0.819585,0.340203,17.55548
"doxy",9,-0.713267,-31.97813,-0.495125,-11.62185,0.039087,0.888579,-0.534211,-17.72819
"oxy",2,0.150692,23.03843,0.107294,8.588118,-0.011234,-0.870896,0.118528,13.41326
"doxy",2,-0.274306,-24.36923,-0.170551,-7.93268,0.0194,0.873941,-0.189951,-12.49105
"oxy",10,0.136688,20.71909,0.132241,10.49465,0.017488,1.344175,0.114753,12.87522
"doxy",10,-0.219404,-21.35981,-0.20845,-10.62462,-0.024795,-1.22399,-0.183655,-13.23442
"oxy",3,0.087848,12.42024,0.063006,4.663819,0.063123,4.525333,-0.000117,-0.012238
"doxy",3,-0.149442,-13.39967,-0.100453,-4.715695,-0.099122,-4.506689,-0.001331,-0.088322
"oxy",11,0.252135,26.29807,0.216882,11.84333,-0.095503,-5.050936,0.312385,24.11744
"doxy",11,-0.400164,-26.93071,-0.339355,-11.95706,0.152623,5.208276,-0.491978,-24.5079
"oxy",4,0.117979,15.77525,0.149741,10.48271,0.019763,1.339918,0.129979,12.86455
"doxy",4,-0.195718,-16.43998,-0.23328,-10.25905,-0.029789,-1.26881,-0.20349,-12.65214
"oxy",12,0.147731,23.51275,0.125221,10.43444,0.035455,2.861392,0.089766,10.57529
"doxy",12,-0.237086,-24.39074,-0.195886,-10.55076,-0.050407,-2.629479,-0.14548,-11.07828
"oxy",5,0.32802,27.39904,0.27462,12.00953,-0.093269,-3.950346,0.367889,22.74579
"doxy",5,-0.538084,-27.91072,-0.434936,-11.81153,0.154726,4.069553,-0.589662,-22.63987
"oxy",13,0.170399,21.87954,0.192927,12.96947,-0.077077,-5.018348,0.270004,25.662
"doxy",13,-0.269711,-22.40327,-0.293729,-12.77377,0.131939,5.557115,-0.425667,-26.17181
"oxy",6,-0.23261,-20.35424,-0.078912,-3.615166,0.027796,1.233305,-0.106708,-6.911502
"doxy",6,-0.022148,-3.342753,-0.075354,-5.954492,0.09049,6.925308,-0.165844,-18.52792
"oxy",14,0.015086,1.655204,0.170465,9.792084,0.054871,3.052745,0.115593,9.387794
"doxy",14,-0.028958,-2.053003,-0.258028,-9.577508,-0.071976,-2.587463,-0.186053,-9.763632
"oxy",7,-0.532705,-19.80978,-0.302703,-5.893436,0.074725,1.409037,-0.377428,-10.38907
"doxy",7,-0.426873,-24.62953,-0.391905,-11.83852,0.077607,2.270486,-0.469511,-20.0518
"oxy",15,-0.199881,-14.3029,-0.165443,-6.198116,0.401202,14.55722,-0.566645,-30.01326
"doxy",15,-0.387932,-40.31538,-0.226019,-12.29757,0.086751,4.571427,-0.31277,-24.05967
"oxy",8,0.152013,9.989831,0.202889,6.980661,-0.070832,-2.360318,0.273721,13.31485
"doxy",8,-0.244966,-10.27946,-0.302406,-6.643764,0.122065,2.597275,-0.42447,-13.18445
"oxy",16,0.105195,11.33983,0.230084,12.98549,0.006983,0.38171,0.223101,17.80177
"doxy",16,-0.167612,-11.69612,-0.34752,-12.69624,0.002643,0.09351,-0.350162,-18.08654
