"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.288606,-13.56977,-0.475682,-9.713959,-0.723936,-12.90012,0.248254,7.70534
"doxy",1,-0.053914,-2.257598,-0.467665,-8.50528,-0.001677,-0.026612,-0.465988,-12.88083
"oxy",9,0.512549,22.15281,0.527698,9.905821,0.161605,2.647116,0.366093,10.44508
"doxy",9,-0.796716,-22.19474,-0.818928,-9.908423,-0.256069,-2.703519,-0.562859,-10.3508
"oxy",2,-0.391247,-16.57595,-0.574835,-10.57749,-1.02249,-16.41768,0.447654,12.5198
"doxy",2,-0.191431,-22.76231,-0.130437,-6.736245,0.041682,1.878354,-0.172119,-13.51017
"oxy",10,0.27459,17.42804,0.35222,9.709361,0.135571,3.261049,0.216649,9.077127
"doxy",10,-0.429326,-17.60627,-0.546835,-9.739768,-0.210957,-3.278681,-0.335879,-9.092631
"oxy",3,-0.265316,-13.21454,-0.741452,-16.03924,-0.620878,-11.71982,-0.120573,-3.964311
"doxy",3,0.012682,1.118659,-0.25889,-9.918364,0.108857,3.639099,-0.367747,-21.41356
"oxy",11,0.210251,17.84067,0.299391,11.03375,-0.131622,-4.232792,0.431012,24.14294
"doxy",11,-0.328777,-18.10788,-0.464545,-11.11236,0.197097,4.114068,-0.661641,-24.05562
"oxy",4,-0.566192,-24.88276,-0.783433,-14.9537,-1.251972,-20.85235,0.468539,13.59276
"doxy",4,-0.070699,-5.023212,-0.2518,-7.770232,0.017249,0.464472,-0.269049,-12.61901
"oxy",12,-0.264332,-12.62659,-0.606895,-12.59107,-0.951897,-17.23266,0.345002,10.87891
"doxy",12,-0.096655,-5.360041,-0.126247,-3.040711,-0.026445,-0.555783,-0.099802,-3.653509
"oxy",5,-0.006622,-0.440254,0.234954,6.784351,-0.189252,-4.768479,0.424206,18.61734
"doxy",5,-0.00297,-0.123659,-0.378441,-6.843042,0.287569,4.537408,-0.66601,-18.30406
"oxy",13,0.248438,15.2125,0.328833,8.745201,0.059856,1.389049,0.268977,10.87237
"doxy",13,-0.392943,-15.78912,-0.511592,-8.928205,-0.100996,-1.538004,-0.410596,-10.89107
"oxy",6,-0.403184,-15.4252,-0.545621,-9.066311,-1.107144,-16.05304,0.561523,14.18151
"doxy",6,0.04905,4.117651,-0.014661,-0.534554,0.381933,12.15132,-0.396594,-21.9778
"oxy",14,-0.253519,-12.78258,0.034774,0.761505,-0.119773,-2.288724,0.154547,5.143941
"doxy",14,0.3298,10.39161,-0.144898,-1.982924,0.119149,1.422813,-0.264047,-5.492124
"oxy",7,0.354604,18.01298,0.586139,12.93167,0.631355,12.15462,-0.045216,-1.51622
"doxy",7,-0.565685,-18.43253,-0.910957,-12.892,-1.006359,-12.42766,0.095403,2.052102
"oxy",15,-0.130417,-7.181448,-0.55663,-13.31237,-0.616485,-12.86546,0.059856,2.175753
"doxy",15,-0.485171,-20.55406,-0.396779,-7.300681,0.058952,0.946517,-0.455731,-12.74497
"oxy",8,0.46781,29.96842,0.501767,13.96073,0.102083,2.478414,0.399684,16.90199
"doxy",8,-0.733031,-30.56199,-0.771649,-13.97304,-0.14701,-2.322911,-0.624638,-17.19156
"oxy",16,-0.182784,-8.828755,-0.535354,-11.23092,-0.625736,-11.45459,0.090382,2.881865
"doxy",16,-0.214977,-17.60187,0.212428,7.554224,0.551321,17.1079,-0.338893,-18.31711
