"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,0.513242,50.06999,0.028512,4.097615,0.028512,4.097615
"doxy",1,-0.038418,-5.594718,0.070939,15.2184,0.070939,15.2184
"oxy",9,-0.183698,-45.31304,-0.005063,-1.839667,-0.005063,-1.839667
"doxy",9,0.283952,45.52184,0.00697,1.646145,0.00697,1.646145
"oxy",2,0.376575,52.76796,0.044887,9.265777,0.044887,9.265777
"doxy",2,-0.182152,-41.44598,-0.011161,-3.740967,-0.011161,-3.740967
"oxy",10,0.033079,8.557442,-0.026037,-9.9226,-0.026037,-9.9226
"doxy",10,-0.050506,-8.49925,0.039428,9.774157,0.039428,9.774157
"oxy",3,-0.033262,-11.42919,-0.011136,-5.636947,-0.011136,-5.636947
"doxy",3,0.050997,11.32026,0.016097,5.263751,0.016097,5.263751
"oxy",11,-0.058217,-16.44549,-0.005778,-2.40436,-0.005778,-2.40436
"doxy",11,0.089187,16.39262,0.008036,2.175782,0.008036,2.175782
"oxy",4,0.103922,17.39837,-0.017429,-4.298596,-0.017429,-4.298596
"doxy",4,-0.159816,-17.44602,0.025682,4.13003,0.025682,4.13003
"oxy",12,0.09327,27.18179,-0.005887,-2.527414,-0.005887,-2.527414
"doxy",12,-0.14282,-26.98639,0.008943,2.489338,0.008943,2.489338
"oxy",5,-0.085387,-22.53585,-0.047416,-18.43532,-0.047416,-18.43532
"doxy",5,0.147555,24.50116,0.073591,18.0011,0.073591,18.0011
"oxy",13,-0.074056,-26.21082,0.019148,9.983652,0.019148,9.983652
"doxy",13,0.119283,26.97319,-0.031013,-10.33101,-0.031013,-10.33101
"oxy",6,0.353136,36.21372,-0.015828,-2.391077,-0.015828,-2.391077
"doxy",6,-0.167818,-37.82764,-0.000663,-0.220145,-0.000663,-0.220145
"oxy",14,0.048267,16.29901,0.032991,16.41157,0.032991,16.41157
"doxy",14,-0.068196,-14.71418,-0.051635,-16.41233,-0.051635,-16.41233
"oxy",7,0.302462,23.25289,-0.087775,-9.940717,-0.087775,-9.940717
"doxy",7,0.005241,0.749166,0.03844,8.09369,0.03844,8.09369
"oxy",15,0.446893,40.21385,-0.004614,-0.611652,-0.004614,-0.611652
"doxy",15,-0.044328,-11.96912,-0.012604,-5.013419,-0.012604,-5.013419
"oxy",8,0.042414,9.561902,0.052881,17.5621,0.052881,17.5621
"doxy",8,-0.063392,-9.229672,-0.083738,-17.96035,-0.083738,-17.96035
"oxy",16,-0.077311,-29.41707,0.030347,17.01037,0.030347,17.01037
"doxy",16,0.125358,30.79642,-0.047821,-17.30659,-0.047821,-17.30659
