"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-3.690813,-14.8373,11.15647,26.66574,8.563931,22.50276,2.592541,8.834051
"doxy",1,-8.991867,-12.73706,25.79506,21.7245,15.11917,13.99835,10.6759,12.81814
"oxy",9,-1.166023,-23.10809,-0.020963,-0.247007,-0.524018,-6.787862,0.503055,8.450331
"doxy",9,0.803164,12.6887,-0.669396,-6.287676,0.671302,6.932035,-1.340699,-17.95335
"oxy",2,0.128006,1.409296,0.853919,5.589624,1.868139,13.44346,-1.014221,-9.464679
"doxy",2,-0.17985,-4.031066,0.265134,3.53319,0.388347,5.689293,-0.123214,-2.340822
"oxy",10,0.074935,1.389199,-0.370392,-4.082577,0.312998,3.79271,-0.683389,-10.73862
"doxy",10,0.175587,4.627023,-0.271252,-4.249878,0.286819,4.94023,-0.558071,-12.46523
"oxy",3,0.659331,18.46496,0.135168,2.250671,-0.23749,-4.3473,0.372657,8.846188
"doxy",3,-1.176444,-19.95961,-0.301626,-3.042588,0.352039,3.903928,-0.653665,-9.400208
"oxy",11,-0.870351,-17.84381,-0.050308,-0.613233,-0.322665,-4.323884,0.272356,4.732949
"doxy",11,0.943971,18.43566,-0.328372,-3.812936,0.991576,12.65772,-1.319948,-21.85032
"oxy",4,0.50739,6.833992,0.781569,6.258838,0.565036,4.97437,0.216533,2.472057
"doxy",4,1.136437,23.37148,1.165334,14.24903,0.749034,10.06867,0.4163,7.256856
"oxy",12,0.162031,2.386508,-0.542132,-4.74748,0.329306,3.170248,-0.871438,-10.87932
"doxy",12,0.286235,6.946419,-0.292192,-4.215992,0.284236,4.508655,-0.576427,-11.85726
"oxy",5,-0.185654,-4.464467,-0.03537,-0.505707,0.016332,0.256701,-0.051702,-1.053841
"doxy",5,-0.147434,-2.100068,-0.200625,-1.699084,-0.171144,-1.593412,-0.029481,-0.355938
"oxy",13,-0.868541,-17.531,-0.435495,-5.226288,-0.130534,-1.722138,-0.304962,-5.217501
"doxy",13,-0.250698,-7.339455,-0.012209,-0.212521,0.102321,1.957976,-0.11453,-2.842071
"oxy",6,0.588584,7.026505,0.209528,1.487193,-0.25964,-2.025968,0.469168,4.747456
"doxy",6,0.717546,11.13566,0.199091,1.837011,-0.031434,-0.318852,0.230525,3.032387
"oxy",14,-0.409115,-6.644812,-0.208466,-2.013105,0.114013,1.210374,-0.322479,-4.439554
"doxy",14,-0.032321,-0.753587,-0.087351,-1.210909,0.039276,0.598563,-0.126627,-2.502525
"oxy",7,-0.519455,-14.22409,-0.132668,-2.159917,-0.13892,-2.486409,0.006252,0.145119
"doxy",7,0.21413,3.402282,-0.208772,-1.972232,-0.065767,-0.683019,-0.143005,-1.925941
"oxy",15,-0.984677,-17.31787,-0.306338,-3.203289,-0.340722,-3.91679,0.034383,0.512566
"doxy",15,-0.102641,-2.61312,0.431518,6.531764,0.357706,5.952434,0.073811,1.5928
"oxy",8,0.348835,5.374434,-0.16654,-1.525541,0.023909,0.24077,-0.190448,-2.48709
"doxy",8,0.05976,1.384068,-0.137775,-1.897181,-0.001882,-0.02849,-0.135893,-2.667735
"oxy",16,-0.327814,-4.357765,-0.114231,-0.902851,0.004198,0.036477,-0.11843,-1.334435
"doxy",16,0.00054,0.009468,-0.24977,-2.605828,0.122254,1.402186,-0.372024,-5.5333
