"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-4.97419,-4.309979,4.502803,1.899708,-12.39305,-4.381086,16.89585,9.918448
"doxy",1,-28.20205,-13.35702,1.486703,0.34285,-13.50611,-2.609818,14.99282,4.810863
"oxy",9,0.582116,8.178425,-0.960548,-6.570981,0.640744,3.672784,-1.601291,-15.24198
"doxy",9,0.898011,15.89114,-0.313148,-2.698202,0.943348,6.810773,-1.256497,-15.06419
"oxy",2,0.564159,4.927138,-1.693379,-7.2011,1.411246,5.0286,-3.104625,-18.37019
"doxy",2,-0.121866,-3.241725,-0.427285,-5.53428,0.748358,8.121799,-1.175643,-21.18744
"oxy",10,1.167534,12.37467,-1.295185,-6.684164,0.521235,2.253975,-1.81642,-13.04342
"doxy",10,0.607644,12.88939,-0.255394,-2.637822,1.094085,9.468578,-1.349479,-19.39367
"oxy",3,-0.031724,-0.406395,-1.114631,-6.952558,-0.297666,-1.555759,-0.816965,-7.090497
"doxy",3,-0.121802,-3.941994,-0.031931,-0.50318,-0.483221,-6.380569,0.45129,9.895313
"oxy",11,1.087366,11.34429,-0.988589,-5.021905,1.905965,8.112736,-2.894555,-20.45946
"doxy",11,1.150934,19.15819,0.018473,0.149725,1.741922,11.82997,-1.723449,-19.43629
"oxy",4,0.971449,9.091556,-1.505638,-6.861037,2.546363,9.722754,-4.052001,-25.69204
"doxy",4,-0.066955,-1.690325,-0.33729,-4.146122,0.906977,9.341896,-1.244267,-21.28199
"oxy",12,2.257842,19.02779,-0.757583,-3.108681,2.76526,9.507837,-3.522842,-20.11403
"doxy",12,1.280729,21.14049,0.08741,0.702537,2.142382,14.42798,-2.054972,-22.9813
"oxy",5,0.721786,9.659013,0.840642,5.477553,1.970714,10.75966,-1.130072,-10.24569
"doxy",5,1.001623,13.6622,-0.729696,-4.846292,-0.043108,-0.239899,-0.686588,-6.34488
"oxy",13,-0.217929,-2.78549,-1.361824,-8.475368,0.015281,0.079685,-1.377105,-11.92516
"doxy",13,0.217765,5.841391,-0.103301,-1.349231,0.301769,3.302586,-0.40507,-7.361565
"oxy",6,2.283848,19.12862,-0.382103,-1.55829,2.108434,7.204892,-2.490537,-14.13255
"doxy",6,1.207241,14.55386,-0.122276,-0.717754,1.509174,7.422915,-1.63145,-13.32505
"oxy",14,1.006838,10.6979,-0.900032,-4.656377,1.563226,6.776599,-2.463259,-17.73209
"doxy",14,0.457571,9.185963,-0.368111,-3.598286,1.047028,8.575812,-1.415138,-19.24758
"oxy",7,0.654585,10.4416,-0.599282,-4.654616,0.462589,3.010564,-1.061872,-11.47583
"doxy",7,0.680815,14.93029,-0.27039,-2.887225,0.707402,6.329306,-0.977792,-14.52768
"oxy",15,-0.171215,-2.184417,-0.76099,-4.727427,-0.329822,-1.716824,-0.431168,-3.726936
"doxy",15,-0.00874,-0.18767,0.281372,2.941747,-0.006349,-0.055622,0.287722,4.185585
"oxy",8,1.997133,17.36205,-0.841483,-3.561971,1.024718,3.63454,-1.866201,-10.99166
"doxy",8,0.673551,10.47691,-0.594235,-4.500614,0.822471,5.21956,-1.416706,-14.92977
"oxy",16,0.362723,3.118152,-1.902016,-7.96136,1.334913,4.68194,-3.23693,-18.85238
"doxy",16,-0.126165,-1.550994,-1.060327,-6.346909,1.347116,6.756584,-2.407443,-20.0511
