"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,0.212845,9.777923,0.006902,0.372491,0.053893,2.908808,0.006902,0.372491,0.053893,2.908808,0.046992,2.092248,0.060795,2.06264
"doxy",1,0.138566,21.13382,0.046701,8.367941,0.10292,18.44233,0.046701,8.367941,0.10292,18.44233,0.056218,8.310138,0.149621,16.85329
"oxy",9,-0.097722,-6.557315,-0.034523,-2.72148,0.054977,4.334198,-0.034523,-2.72148,0.054977,4.334198,0.0895,5.820551,0.020454,1.013638
"doxy",9,0.153956,6.647643,0.059729,3.029844,-0.087571,-4.442466,0.059729,3.029844,-0.087571,-4.442466,-0.1473,-6.164258,-0.027842,-0.887844
"oxy",2,0.019379,0.889097,0.130271,7.021506,-0.104019,-5.606905,0.130271,7.021506,-0.104019,-5.606905,-0.23429,-10.41787,0.026252,0.889518
"doxy",2,0.132446,20.89322,0.003293,0.610366,0.066266,12.28152,0.003293,0.610366,0.066266,12.28152,0.062972,9.627781,0.069559,8.103863
"oxy",10,-0.279458,-15.35307,0.068573,4.42588,-0.271201,-17.50516,0.068573,4.42588,-0.271201,-17.50516,-0.339775,-18.09169,-0.202628,-8.221442
"doxy",10,0.01204,1.091776,0.043625,4.647546,-0.007279,-0.775522,0.043625,4.647546,-0.007279,-0.775522,-0.050904,-4.47388,0.036346,2.434152
"oxy",3,0.082656,3.802159,0.018954,1.024304,-0.10429,-5.636303,0.018954,1.024304,-0.10429,-5.636303,-0.123244,-5.494552,-0.085336,-2.899057
"doxy",3,0.251797,34.30952,0.001197,0.19162,0.045429,7.2726,0.001197,0.19162,0.045429,7.2726,0.044232,5.841259,0.046626,4.692015
"oxy",11,-0.232351,-26.94769,-0.090842,-12.37739,-0.024674,-3.362104,-0.090842,-12.37739,-0.024674,-3.362104,0.066168,7.437618,-0.115516,-9.894368
"doxy",11,0.081795,3.923679,0.050369,2.838576,-0.104799,-5.906346,0.050369,2.838576,-0.104799,-5.906346,-0.155168,-7.214056,-0.054429,-1.928278
"oxy",4,-3.843369,-20.04519,-0.255434,-1.565101,1.37669,8.435865,-0.255434,-1.565101,1.37669,8.435865,1.632124,8.250125,1.121256,4.318893
"doxy",4,9.387085,20.65974,0.925317,2.39249,-3.587873,-9.277401,0.925317,2.39249,-3.587873,-9.277401,-4.513189,-9.626907,-2.662556,-4.327751
"oxy",12,-0.131928,-4.904356,0.140432,6.133043,-0.204987,-8.952924,0.140432,6.133043,-0.204987,-8.952924,-0.345419,-12.44512,-0.064555,-1.772314
"doxy",12,-0.040615,-4.992462,0.001424,0.205591,-0.049526,-7.152527,0.001424,0.205591,-0.049526,-7.152527,-0.05095,-6.069901,-0.048102,-4.366833
"oxy",5,0.208168,14.60369,-0.043458,-3.581637,-0.136095,-11.21727,-0.043458,-3.581637,-0.136095,-11.21727,-0.092637,-6.298618,-0.179553,-9.302743
"doxy",5,-0.319521,-14.48971,0.069601,3.707994,0.205357,10.94119,0.069601,3.707994,0.205357,10.94119,0.135756,5.96663,0.274957,9.208632
"oxy",13,0.087582,4.669415,0.190344,11.92213,-0.179158,-11.22227,0.190344,11.92213,-0.179158,-11.22227,-0.369503,-19.09305,0.011186,0.440442
"doxy",13,0.18075,25.9554,0.103213,17.41204,0.081018,13.66875,0.103213,17.41204,0.081018,13.66875,-0.022194,-3.088905,0.184231,19.53812
"oxy",6,-1.952789,-22.82202,-0.104827,-1.439255,0.64968,8.920585,-0.104827,-1.439255,0.64968,8.920585,0.754507,8.546163,0.544853,4.7027
"doxy",6,6.127184,22.06522,0.67922,2.873584,-1.948618,-8.244596,0.67922,2.873584,-1.948618,-8.244596,-2.627838,-9.171816,-1.269398,-3.376094
"oxy",14,-0.18332,-9.372941,0.24075,14.46105,-0.153164,-9.200674,0.24075,14.46105,-0.153164,-9.200674,-0.393915,-19.51994,0.087586,3.307287
"doxy",14,-0.101289,-13.97567,0.072514,11.75443,0.153987,24.9627,0.072514,11.75443,0.153987,24.9627,0.081473,10.89516,0.226501,23.08088
"oxy",7,0.065272,5.50141,0.012438,1.231562,-0.106406,-10.53672,0.012438,1.231562,-0.106406,-10.53672,-0.118843,-9.708011,-0.093968,-5.84917
"doxy",7,-0.098892,-5.355769,-0.016113,-1.025156,0.158511,10.08586,-0.016113,-1.025156,0.158511,10.08586,0.174623,9.165805,0.142398,5.695514
"oxy",15,-0.013342,-0.687433,0.207137,12.53846,-0.029283,-1.772683,0.207137,12.53846,-0.029283,-1.772683,-0.23642,-11.80631,0.177854,6.767901
"doxy",15,0.142005,14.83134,0.04327,5.309165,0.168919,20.72768,0.04327,5.309165,0.168919,20.72768,0.125649,12.7188,0.212189,16.36698
"oxy",8,-0.066358,-3.526726,0.073344,4.579412,-0.233487,-14.57937,0.073344,4.579412,-0.233487,-14.57937,-0.30683,-15.8048,-0.160143,-6.285773
"doxy",8,-0.068359,-5.607751,0.056627,5.45734,0.151239,14.5765,0.056627,5.45734,0.151239,14.5765,0.094612,7.522305,0.207865,12.5935
"oxy",16,0.117206,4.896213,0.443079,21.74494,-0.279612,-13.72345,0.443079,21.74494,-0.279612,-13.72345,-0.722691,-29.25996,0.163466,5.043237
"doxy",16,0.206828,19.42783,0.023825,2.629135,0.038531,4.25223,0.023825,2.629135,0.038531,4.25223,0.014706,1.338782,0.062356,4.325737
