"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-0.23917,-8.126179,-0.264021,-10.50784,-0.261048,-10.39048,-0.264021,-10.50784,-0.261048,-10.39048,0.002974,0.097755,-0.525069,-13.12789
"doxy",1,-0.810317,-44.44773,-0.105029,-6.748364,-0.050852,-3.267658,-0.105029,-6.748364,-0.050852,-3.267658,0.054177,2.875292,-0.15588,-6.291959
"oxy",9,-0.515963,-15.57532,-0.163471,-5.780365,-0.484581,-17.13647,-0.163471,-5.780365,-0.484581,-17.13647,-0.32111,-9.378727,-0.648052,-14.39554
"doxy",9,-0.352963,-8.060464,0.127608,3.413546,-0.208722,-5.583889,0.127608,3.413546,-0.208722,-5.583889,-0.336331,-7.431381,-0.081114,-1.363099
"oxy",2,-0.731739,-16.24975,-0.30484,-7.929719,-0.777866,-20.23635,-0.30484,-7.929719,-0.777866,-20.23635,-0.473027,-10.16361,-1.082706,-17.69297
"doxy",2,-1.056355,-36.04234,-0.113257,-4.52651,-0.227781,-9.104518,-0.113257,-4.52651,-0.227781,-9.104518,-0.114524,-3.780691,-0.341038,-8.562593
"oxy",10,-0.523756,-9.798798,-0.088793,-1.945888,-0.696281,-15.26037,-0.088793,-1.945888,-0.696281,-15.26037,-0.607488,-10.99648,-0.785074,-10.80822
"doxy",10,-0.359427,-10.37621,0.081441,2.754002,-0.319181,-10.79448,0.081441,2.754002,-0.319181,-10.79448,-0.400622,-11.19011,-0.237741,-5.050459
"oxy",3,-0.215777,-9.112594,-0.243689,-12.05505,-0.16938,-8.379824,-0.243689,-12.05505,-0.16938,-8.379824,0.07431,3.036359,-0.413069,-12.83687
"doxy",3,-0.473751,-22.69772,-0.119971,-6.732913,-0.183525,-10.30063,-0.119971,-6.732913,-0.183525,-10.30063,-0.063554,-2.946103,-0.303495,-10.70001
