"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-2.938545,-31.60552,0.060088,0.92237,0.060088,0.92237
"doxy",1,-6.673901,-29.73421,-1.109385,-7.05412,-1.109385,-7.05412
"oxy",9,0.314767,12.28435,0.046209,2.573802,0.046209,2.573802
"doxy",9,0.46919,28.36922,-0.062027,-5.352564,-0.062027,-5.352564
"oxy",2,0.058753,2.700284,0.242068,15.87807,0.242068,15.87807
"doxy",2,0.391194,29.83384,0.101655,11.06447,0.101655,11.06447
"oxy",10,0.121361,4.990018,0.146722,8.610007,0.146722,8.610007
"doxy",10,0.345655,34.37591,0.071037,10.08282,0.071037,10.08282
"oxy",3,0.256692,11.08306,0.178061,10.9724,0.178061,10.9724
"doxy",3,0.501934,43.41464,0.096428,11.90361,0.096428,11.90361
"oxy",11,0.14213,4.794291,0.039333,1.893552,0.039333,1.893552
"doxy",11,0.341636,20.93884,-0.026877,-2.350996,-0.026877,-2.350996
"oxy",4,-2.984987,-14.87916,-0.852177,-6.06247,-0.852177,-6.06247
"doxy",4,-13.06061,-11.73095,0.482861,0.618979,0.482861,0.618979
"oxy",12,0.229866,9.650218,0.090675,5.432911,0.090675,5.432911
"doxy",12,0.430544,41.49706,0.009504,1.30737,0.009504,1.30737
"oxy",5,-0.069113,-7.525251,-0.073983,-11.49681,-0.073983,-11.49681
"doxy",5,0.335633,20.56549,0.162132,14.17838,0.162132,14.17838
"oxy",13,0.36668,16.62619,0.141077,9.129458,0.141077,9.129458
"doxy",13,0.349177,36.2804,0.105486,15.64253,0.105486,15.64253
"oxy",6,-4.462134,-9.398974,-0.968044,-2.910161,-0.968044,-2.910161
"doxy",6,-42.69728,-30.34431,2.945677,2.987763,2.945677,2.987763
"oxy",14,0.010227,0.523973,0.256307,18.74111,0.256307,18.74111
"doxy",14,0.056174,5.276597,0.190852,25.5856,0.190852,25.5856
"oxy",7,0.066896,4.233655,0.114034,10.29989,0.114034,10.29989
"doxy",7,0.39043,31.36103,0.132256,15.16159,0.132256,15.16159
"oxy",15,0.426484,23.99616,0.019893,1.597413,0.019893,1.597413
"doxy",15,0.569575,51.02219,0.079318,10.14067,0.079318,10.14067
"oxy",8,0.058892,2.395368,0.045679,2.651648,0.045679,2.651648
"doxy",8,0.307319,23.54729,0.070365,7.694674,0.070365,7.694674
"oxy",16,0.198674,8.742658,0.089537,5.623255,0.089537,5.623255
"doxy",16,0.480984,31.15684,0.056869,5.257504,0.056869,5.257504
