"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.385923,-6.509134,-0.001808,-0.045145,-0.001808,-0.045145
"doxy",1,0.914403,12.57583,0.278333,5.668365,0.278333,5.668365
"oxy",9,-0.028771,-1.014709,0.013806,0.721,0.013806,0.721
"doxy",9,0.32801,21.00624,0.013215,1.253175,0.013215,1.253175
"oxy",2,-0.361753,-8.027325,-0.23172,-7.614031,-0.23172,-7.614031
"doxy",2,0.313868,22.93738,-0.062099,-6.720138,-0.062099,-6.720138
"oxy",10,0.137067,3.897484,-0.098158,-4.133058,-0.098158,-4.133058
"doxy",10,0.370053,22.75499,-0.013744,-1.251466,-0.013744,-1.251466
"oxy",3,-0.243588,-7.773682,-0.079193,-3.742399,-0.079193,-3.742399
"doxy",3,0.206954,26.95715,-0.02982,-5.751717,-0.02982,-5.751717
"oxy",11,0.250733,7.71582,0.016322,0.743791,0.016322,0.743791
"doxy",11,0.463938,28.45571,0.03309,3.005423,0.03309,3.005423
"oxy",4,-0.146585,-3.443455,-0.111889,-3.892118,-0.111889,-3.892118
"doxy",4,0.397317,29.45883,-0.036814,-4.041856,-0.036814,-4.041856
"oxy",12,0.311747,9.354584,0.01144,0.508326,0.01144,0.508326
"doxy",12,0.448703,34.38469,0.006615,0.750613,0.006615,0.750613
"oxy",5,-0.181692,-7.439972,-0.090118,-5.464345,-0.090118,-5.464345
"doxy",5,0.130597,8.278445,-0.00592,-0.555688,-0.00592,-0.555688
"oxy",13,0.012456,0.404799,0.045206,2.175375,0.045206,2.175375
"doxy",13,0.159095,11.1357,-0.004313,-0.44698,-0.004313,-0.44698
"oxy",6,0.088625,3.073226,-0.042169,-2.165314,-0.042169,-2.165314
"doxy",6,0.345258,23.49026,-0.000395,-0.039772,-0.000395,-0.039772
"oxy",14,-0.388224,-11.21387,-0.000986,-0.042192,-0.000986,-0.042192
"doxy",14,0.032963,2.196702,-0.01765,-1.741724,-0.01765,-1.741724
"oxy",7,-0.03211,-1.18876,0.029708,1.628652,0.029708,1.628652
"doxy",7,0.151508,11.07863,0.029002,3.140349,0.029002,3.140349
"oxy",15,-0.182201,-6.880383,0.003227,0.180466,0.003227,0.180466
"doxy",15,0.160567,13.50249,0.004203,0.523379,0.004203,0.523379
"oxy",8,0.131472,4.389733,-0.123186,-6.09059,-0.123186,-6.09059
"doxy",8,0.329352,17.39622,-0.016097,-1.259,-0.016097,-1.259
"oxy",16,-0.339964,-8.717107,-0.132497,-5.030836,-0.132497,-5.030836
"doxy",16,-0.011759,-0.566812,-0.050557,-3.608668,-0.050557,-3.608668
