"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.2994,-10.44139,0.020798,0.368384,0.588019,8.741575,-0.567221,-13.67797
"doxy",1,0.438037,27.86383,0.400695,12.9456,-0.018094,-0.490638,0.41879,18.41994
"oxy",9,0.000371,0.017677,0.165266,3.99618,-0.026562,-0.539059,0.191828,6.314781
"doxy",9,0.267091,20.29255,0.279709,10.79345,-0.102648,-3.324452,0.382357,20.08667
"oxy",2,-0.107849,-9.597218,-0.19658,-8.884738,-0.299054,-11.34409,0.102474,6.305304
"doxy",2,0.167073,9.629375,0.301248,8.81846,0.458985,11.27665,-0.157736,-6.286142
"oxy",10,-0.323152,-13.87331,-0.147884,-3.224565,-1.007688,-18.44125,0.859805,25.52317
"doxy",10,0.500478,13.90044,0.227749,3.212755,1.555085,18.41147,-1.327336,-25.49095
"oxy",3,-0.352116,-13.34833,-0.115583,-2.225414,0.535857,8.659263,-0.65144,-17.07564
"doxy",3,0.388416,29.87731,0.284922,11.13132,0.4789,15.70289,-0.193978,-10.31712
"oxy",11,-0.193439,-4.867105,0.374554,4.786515,-0.124327,-1.333469,0.498881,8.679332
"doxy",11,0.434754,11.04001,0.50729,6.542741,-0.855671,-9.262406,1.362961,23.93158
"oxy",4,-0.065942,-1.93137,0.42982,6.393949,0.240884,3.007487,0.188936,3.82633
"doxy",4,0.476044,17.25097,0.470338,8.656737,-0.06515,-1.006404,0.535488,13.41771
"oxy",12,-0.151871,-3.877407,0.112364,1.457044,0.739848,8.051959,-0.627484,-11.07726
"doxy",12,0.406981,26.33104,0.244754,8.042689,0.535115,14.75814,-0.29036,-12.98952
"oxy",5,-1.079026,-24.6555,-1.02505,-11.89609,0.262571,2.557524,-1.287621,-20.3438
"doxy",5,1.67233,24.72614,1.548594,11.62919,-0.443661,-2.796257,1.992255,20.36768
"oxy",13,-0.050611,-1.415594,0.444349,6.312443,-0.045434,-0.541713,0.489783,9.472438
"doxy",13,0.595881,13.39124,0.538692,6.148647,-0.948479,-9.086158,1.487171,23.10917
"oxy",6,0.133282,3.437361,0.283985,3.719868,-0.273043,-3.001766,0.557029,9.933303
"doxy",6,0.978114,39.14888,0.55847,11.3529,0.256916,4.383416,0.301553,8.345574
"oxy",14,0.047118,1.144973,0.342653,4.229072,0.615426,6.375002,-0.272773,-4.583286
"doxy",14,0.570583,18.65051,0.385055,6.392516,-0.233824,-3.258006,0.618879,13.98748
"oxy",7,0.049227,1.594122,0.167419,2.753608,-0.495741,-6.843313,0.66316,14.84912
"doxy",7,0.855066,28.06852,0.79979,13.33438,-0.19545,-2.734937,0.99524,22.58965
"oxy",15,-0.477446,-10.35989,-0.787892,-8.683108,1.130866,10.46005,-1.918758,-28.78812
"doxy",15,0.736124,10.34848,1.214669,8.672836,-1.750178,-10.48816,2.964847,28.81974
"oxy",8,0.294232,9.071032,0.177693,2.782364,0.187632,2.465837,-0.009939,-0.21187
"doxy",8,1.03381,27.51171,0.890951,12.04227,0.461104,5.230793,0.429847,7.909563
"oxy",16,-0.41128,-16.35377,-0.402805,-8.134915,0.0272,0.461048,-0.430006,-11.8227
"doxy",16,0.649625,17.19491,0.793901,10.67288,0.347381,3.919534,0.446521,8.172238
