"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.052364,-2.321503,-0.075402,-1.559873,0.688871,12.00213,-0.764272,-22.60588
"doxy",1,0.422969,47.8848,0.159741,8.438724,0.083277,3.705093,0.076464,5.775393
"oxy",9,-0.152969,-15.04236,-0.232121,-10.65124,-0.052223,-2.018195,-0.179898,-11.80256
"doxy",9,0.233176,14.93332,0.358389,10.71026,0.08444,2.125226,0.273949,11.70525
"oxy",2,-0.042878,-3.851441,-0.203667,-8.536554,-0.315976,-11.15395,0.112309,6.730412
"doxy",2,0.066567,3.834815,0.313191,8.419175,0.488633,11.06254,-0.175441,-6.743045
"oxy",10,-0.000789,-0.033761,-0.100332,-2.003236,0.844417,14.19922,-0.944749,-26.96971
"doxy",10,0.398102,23.08885,-0.028389,-0.768305,0.44885,10.23042,-0.477239,-18.46635
"oxy",3,-0.125677,-6.683981,0.015185,0.376838,0.897136,18.75097,-0.881952,-31.29412
"doxy",3,0.499529,50.85191,0.237487,11.2813,-0.161491,-6.460723,0.398979,27.09779
"oxy",11,-0.438493,-16.407,-0.083789,-1.462947,0.362348,5.328167,-0.446137,-11.13713
"doxy",11,0.212107,11.18283,0.701881,17.2676,-0.297549,-6.16509,0.99943,35.1549
"oxy",4,0.031505,2.333702,-0.107853,-3.727949,-0.073783,-2.147853,-0.034071,-1.683759
"doxy",4,-0.047913,-2.316524,0.167402,3.776689,0.114442,2.174445,0.05296,1.708301
"oxy",12,0.04596,2.096211,-0.009769,-0.207901,0.793947,14.23075,-0.803716,-24.45632
"doxy",12,0.374285,37.13741,0.174248,8.067707,0.414832,16.17584,-0.240584,-15.92625
"oxy",5,0.201263,13.60693,-0.182738,-5.764984,0.148414,3.943265,-0.331152,-14.93693
"doxy",5,-0.312802,-13.64002,0.28113,5.720391,-0.224886,-3.853837,0.506016,14.72135
"oxy",13,0.103749,7.757395,-0.075093,-2.620036,0.232649,6.836277,-0.307743,-15.35176
"doxy",13,-0.163738,-7.916574,0.112156,2.530354,-0.348775,-6.627012,0.460931,14.86827
"oxy",6,-0.432697,-19.41519,-0.217438,-4.552661,0.643372,11.34501,-0.86081,-25.76929
"doxy",6,0.303876,40.89029,0.153091,9.612701,0.175443,9.277806,-0.022352,-2.006704
"oxy",14,-0.193543,-25.26725,-0.114026,-6.946347,-0.044899,-2.303551,-0.069127,-6.020994
"doxy",14,0.297544,25.22642,0.172427,6.821526,0.073581,2.451643,0.098845,5.591118
"oxy",7,-0.258157,-21.42299,0.036367,1.40824,0.352134,11.48389,-0.315767,-17.48236
"doxy",7,-0.146702,-10.03706,0.148737,4.748568,0.104003,2.796417,0.044734,2.041959
"oxy",15,0.069517,4.341608,-0.226415,-6.598418,-0.116589,-2.861572,-0.109826,-4.576202
"doxy",15,-0.125851,-5.051311,0.335595,6.285444,0.184133,2.904456,0.151462,4.055921
"oxy",8,0.095363,4.442777,-0.028434,-0.618143,0.755375,13.82997,-0.78381,-24.36248
"doxy",8,0.445739,29.51454,0.173386,5.357255,0.500208,13.01641,-0.326822,-14.4379
"oxy",16,-0.371559,-22.23866,-0.224309,-6.264693,0.210017,4.939921,-0.434326,-17.34339
"doxy",16,0.255191,22.90309,0.264001,11.05618,0.012818,0.452094,0.251183,15.04025
