"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,0.300703,30.53177,-0.085813,-10.56732,0.108022,13.30163,-0.085813,-10.56732,0.108022,13.30163,0.193835,20.89112,0.022209,1.66601
"doxy",1,-0.121836,-34.13517,0.045352,15.4105,-0.022454,-7.629458,0.045352,15.4105,-0.022454,-7.629458,-0.067806,-20.16537,0.022898,4.739851
"oxy",9,0.28917,24.84663,-0.021307,-2.220405,0.056694,5.907902,-0.021307,-2.220405,0.056694,5.907902,0.078001,7.114292,0.035387,2.246489
"doxy",9,0.067667,14.57244,0.053385,13.94353,0.010057,2.626586,0.053385,13.94353,0.010057,2.626586,-0.043328,-9.904756,0.063442,10.09422
"oxy",2,0.097066,19.0011,-0.042185,-10.01526,-0.020821,-4.942911,-0.042185,-10.01526,-0.020821,-4.942911,0.021364,4.439262,-0.063005,-9.112314
"doxy",2,-0.149708,-18.96415,0.063895,9.816352,0.03128,4.805389,0.063895,9.816352,0.03128,4.805389,-0.032615,-4.38554,0.095174,8.907363
"oxy",10,-0.334433,-34.01293,-0.160595,-19.80902,0.017702,2.183449,-0.160595,-19.80902,0.017702,2.183449,0.178297,19.2484,-0.142893,-10.73706
"doxy",10,0.524835,33.52536,0.234209,18.14476,-0.055935,-4.333253,0.234209,18.14476,-0.055935,-4.333253,-0.290144,-19.67343,0.178274,8.413565
"oxy",3,0.29804,29.25661,-0.080771,-9.616136,0.051748,6.160645,-0.080771,-9.616136,0.051748,6.160645,0.132519,13.80842,-0.029022,-2.104857
"doxy",3,0.041627,11.75945,0.05806,19.8926,-0.036791,-12.60494,0.05806,19.8926,-0.036791,-12.60494,-0.094851,-28.44305,0.021269,4.439173
"oxy",11,0.773232,33.39419,0.000661,0.034598,0.028609,1.498429,0.000661,0.034598,0.028609,1.498429,0.027948,1.281232,0.029269,0.933924
"doxy",11,0.30312,35.80392,0.078331,11.22137,-0.049984,-7.160144,0.078331,11.22137,-0.049984,-7.160144,-0.128314,-16.08818,0.028347,2.473832
"oxy",4,-0.024488,-5.470746,-0.025809,-6.992839,0.003466,0.938962,-0.025809,-6.992839,0.003466,0.938962,0.029274,6.942129,-0.022343,-3.687866
"doxy",4,0.03667,5.293366,0.038657,6.767802,-0.006908,-1.209367,0.038657,6.767802,-0.006908,-1.209367,-0.045565,-6.981845,0.031749,3.386047
"oxy",12,0.598156,35.97976,0.033295,2.428984,-0.021349,-1.557384,0.033295,2.428984,-0.021349,-1.557384,-0.054644,-3.489017,0.011947,0.530921
"doxy",12,0.268589,31.69316,0.14858,21.26338,-0.086361,-12.35868,0.14858,21.26338,-0.086361,-12.35868,-0.23494,-29.42725,0.062219,5.42424
"oxy",5,0.516364,30.64393,-0.120656,-8.684266,0.102682,7.390283,-0.120656,-8.684266,0.102682,7.390283,0.223338,14.06908,-0.017974,-0.788083
"doxy",5,0.119373,15.1042,0.062455,9.584184,-0.069893,-10.72515,0.062455,9.584184,-0.069893,-10.72515,-0.132348,-17.77558,-0.007438,-0.695318
"oxy",13,0.123477,12.59795,-0.06326,-7.82787,0.018176,2.249025,-0.06326,-7.82787,0.018176,2.249025,0.081437,8.819611,-0.045084,-3.398455
"doxy",13,0.036478,6.456964,0.012735,2.734012,-0.01422,-3.052583,0.012735,2.734012,-0.01422,-3.052583,-0.026955,-5.06467,-0.001485,-0.194142
"oxy",6,0.239268,17.53243,-0.0758,-6.736289,0.066761,5.932788,-0.0758,-6.736289,0.066761,5.932788,0.142561,11.08848,-0.009039,-0.489328
"doxy",6,0.034579,6.739198,0.083089,19.63966,-0.097642,-23.07848,0.083089,19.63966,-0.097642,-23.07848,-0.180731,-37.38872,-0.014553,-2.095427
"oxy",14,-0.053306,-12.63501,0.014632,4.206247,0.033255,9.559426,0.014632,4.206247,0.033255,9.559426,0.018623,4.685565,0.047887,8.385984
"doxy",14,0.091039,11.96261,-0.023625,-3.765107,-0.03331,-5.308207,-0.023625,-3.765107,-0.03331,-5.308207,-0.009684,-1.350745,-0.056935,-5.527396
