"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.17572,-18.12668,0.080787,12.27816,0.080787,12.27816
"doxy",1,0.042021,10.73451,0.033902,12.75963,0.033902,12.75963
"oxy",9,-0.072078,-10.84262,-0.010876,-2.410472,-0.010876,-2.410472
"doxy",9,0.102184,28.85695,0.053575,22.29063,0.053575,22.29063
"oxy",2,0.077249,16.14516,-0.041207,-12.68873,-0.041207,-12.68873
"doxy",2,-0.120439,-16.21787,0.063444,12.5866,0.063444,12.5866
"oxy",10,0.058033,12.316,-0.09239,-28.88761,-0.09239,-28.88761
"doxy",10,-0.092771,-12.68714,0.141953,28.60139,0.141953,28.60139
"oxy",3,-0.202625,-26.68927,0.022864,4.4369,0.022864,4.4369
"doxy",3,0.09617,35.75554,0.057284,31.37809,0.057284,31.37809
"oxy",11,-0.105716,-11.4383,0.059282,9.450115,0.059282,9.450115
"doxy",11,0.150666,17.52048,0.056865,9.742458,0.056865,9.742458
"oxy",4,-0.258416,-17.33486,0.139013,13.73874,0.139013,13.73874
"doxy",4,0.084217,26.27576,0.132963,61.11896,0.132963,61.11896
"oxy",12,-0.139734,-17.45235,0.066204,12.18227,0.066204,12.18227
"doxy",12,0.16577,39.94033,0.10706,38.00357,0.10706,38.00357
"oxy",5,0.010503,1.719223,-0.113451,-27.36067,-0.113451,-27.36067
"doxy",5,-0.018428,-1.950448,0.173305,27.02477,0.173305,27.02477
"oxy",13,-0.142284,-15.83513,0.056483,9.261416,0.056483,9.261416
"doxy",13,0.127322,20.25921,0.053348,12.50617,0.053348,12.50617
"oxy",6,-0.257407,-17.07574,0.205431,20.07783,0.205431,20.07783
"doxy",6,0.073423,14.03975,0.20503,57.76095,0.20503,57.76095
"oxy",14,-0.07825,-8.27146,0.050976,7.938721,0.050976,7.938721
"doxy",14,0.15508,35.33736,0.112234,37.67863,0.112234,37.67863
"oxy",7,-0.201805,-26.0842,0.04757,9.058912,0.04757,9.058912
"doxy",7,0.047299,10.45545,0.102825,33.48735,0.102825,33.48735
"oxy",15,-0.028704,-7.959016,-0.094475,-38.59405,-0.094475,-38.59405
"doxy",15,0.044259,7.942716,0.146882,38.8355,0.146882,38.8355
"oxy",8,-0.326887,-33.34031,0.112177,16.85645,0.112177,16.85645
"doxy",8,-0.075188,-11.2311,0.214091,47.11564,0.214091,47.11564
"oxy",16,-0.031869,-9.299657,-0.078593,-33.78922,-0.078593,-33.78922
"doxy",16,0.025268,3.903152,0.14894,33.89627,0.14894,33.89627
