"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.207504,-20.14644,0.015687,2.240343,0.015687,2.240343
"doxy",1,0.015833,3.381556,0.089422,28.09221,0.089422,28.09221
"oxy",9,-0.092283,-10.3505,-0.056918,-9.390381,-0.056918,-9.390381
"doxy",9,0.003511,0.638131,0.06679,17.85727,0.06679,17.85727
"oxy",2,-0.148874,-22.26189,-0.093794,-20.63066,-0.093794,-20.63066
"doxy",2,0.095633,25.843,0.110229,43.81522,0.110229,43.81522
"oxy",10,-0.020946,-1.677418,-0.126196,-14.86567,-0.126196,-14.86567
"doxy",10,0.031802,1.643505,0.194644,14.79627,0.194644,14.79627
"oxy",3,-0.135613,-14.16199,0.030759,4.724956,0.030759,4.724956
"doxy",3,0.085773,20.82962,0.13937,49.78481,0.13937,49.78481
"oxy",11,-0.112246,-5.659529,-0.004529,-0.335911,-0.004529,-0.335911
"doxy",11,0.118523,7.653979,0.133099,12.64314,0.133099,12.64314
"oxy",4,-0.046145,-8.646891,-0.184682,-50.90437,-0.184682,-50.90437
"doxy",4,0.070735,8.485384,0.286567,50.56644,0.286567,50.56644
"oxy",12,-0.020328,-1.076196,0.175972,13.70389,0.175972,13.70389
"doxy",12,0.130358,11.51676,0.221746,28.81689,0.221746,28.81689
"oxy",5,-0.075239,-5.61005,0.023008,2.523537,0.023008,2.523537
"doxy",5,0.095713,8.313259,0.189628,24.22696,0.189628,24.22696
"oxy",13,-0.142255,-17.33719,0.012368,2.217158,0.012368,2.217158
"doxy",13,0.007658,1.203195,0.120139,27.76593,0.120139,27.76593
"oxy",6,-0.06021,-5.041504,0.182049,22.42221,0.182049,22.42221
"doxy",6,0.062955,9.312649,0.223121,48.54902,0.223121,48.54902
"oxy",14,-0.145509,-22.08903,0.002048,0.4574,0.002048,0.4574
"doxy",14,-0.042121,-9.711421,0.135756,46.04045,0.135756,46.04045
"oxy",7,-0.077417,-6.375294,-0.01714,-2.076205,-0.01714,-2.076205
"doxy",7,-0.008084,-1.130907,0.105184,21.64468,0.105184,21.64468
"oxy",15,-0.105836,-15.10947,0.034851,7.318633,0.034851,7.318633
"doxy",15,0.028913,9.415266,0.130729,62.62,0.130729,62.62
"oxy",8,-0.039128,-1.943005,0.069709,5.091851,0.069709,5.091851
"doxy",8,0.015946,1.287217,0.181985,21.609,0.181985,21.609
"oxy",16,-0.183226,-22.80652,-0.023297,-4.265451,-0.023297,-4.265451
"doxy",16,0.016838,5.376518,0.090114,42.32498,0.090114,42.32498
