"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,10.08216,17.01455,-15.61579,-12.28696,-0.803447,-0.761785,-14.81234,-15.9657
"doxy",1,17.66629,15.5943,-37.43569,-15.40705,-0.242513,-0.120272,-37.19318,-20.96914
"oxy",9,0.494271,17.49629,1.076182,17.76149,0.456672,9.082243,0.61951,14.00637
"doxy",9,0.348874,32.94136,-0.411401,-18.11137,-0.171006,-9.071764,-0.240395,-14.49758
"oxy",2,0.130423,3.5558,0.10186,1.294795,-0.480221,-7.355857,0.58208,10.13595
"doxy",2,-0.248924,-15.7649,-0.386821,-11.42214,-0.199642,-7.103696,-0.187179,-7.571428
"oxy",10,0.024073,0.649353,0.810441,10.19274,-0.048638,-0.73712,0.859079,14.80083
"doxy",10,-0.062807,-4.350884,-0.295381,-9.540442,-0.100306,-3.903981,-0.195075,-8.631204
"oxy",3,-37.28318,-23.32106,32.89299,9.592946,9.425497,3.312438,23.46749,9.375601
"doxy",3,-59.56921,-21.88365,27.88126,4.775551,18.68424,3.856394,9.19702,2.157953
"oxy",11,0.138692,5.097558,0.874157,14.98004,0.178109,3.677933,0.696048,16.33979
"doxy",11,0.161597,13.01006,-0.442193,-16.59858,-0.309824,-14.01424,-0.132368,-6.806564
"oxy",4,0.45602,15.23989,0.690129,10.75331,-0.045437,-0.853136,0.735567,15.70065
"doxy",4,-0.230032,-19.59908,-0.048585,-1.930004,0.034172,1.635761,-0.082756,-4.503436
"oxy",12,-0.01708,-0.560229,0.435254,6.656179,-0.173956,-3.205648,0.609209,12.76241
"doxy",12,-0.054902,-5.082138,-0.177131,-7.644785,-0.076062,-3.955826,-0.101068,-5.975436
"oxy",5,-33.24453,-22.00032,24.40432,7.529893,7.206488,2.679419,17.19784,7.269083
"doxy",5,-61.85664,-25.01047,45.22198,8.525078,15.46674,3.51352,29.75524,7.684154
"oxy",13,0.552473,20.65123,1.328321,23.15001,0.562416,11.81138,0.765905,18.2855
"doxy",13,0.247343,24.6494,-0.297358,-13.81654,-0.10345,-5.792238,-0.193908,-12.34236
"oxy",6,0.206025,7.453787,0.905514,15.27445,0.137874,2.802515,0.76764,17.73829
"doxy",6,-0.033862,-2.212462,-0.265743,-8.09532,-0.016219,-0.595385,-0.249523,-10.41281
"oxy",14,0.150922,5.566095,0.506235,8.704898,0.018849,0.390567,0.487386,11.4807
"doxy",14,0.054847,4.532894,0.267408,10.30418,0.097761,4.539381,0.169648,8.955102
"oxy",7,0.617726,17.3386,1.175279,15.38058,0.585808,9.238085,0.589471,10.56764
"doxy",7,0.227294,10.65249,-0.261264,-5.708958,0.042875,1.12895,-0.304139,-9.104015
"oxy",15,0.221197,7.769972,0.747644,12.2447,0.117258,2.31414,0.630386,14.14308
"doxy",15,0.175101,16.2857,-0.049503,-2.146663,-0.126212,-6.595207,0.076709,4.556836
"oxy",8,0.221932,5.426147,1.096435,12.49878,0.226616,3.112942,0.869819,13.58305
"doxy",8,-0.094234,-2.90172,-0.134748,-1.934554,0.146903,2.541476,-0.281651,-5.539295
"oxy",16,-0.086438,-2.52498,-0.029664,-0.404018,-0.699609,-11.48204,0.669945,12.49947
"doxy",16,-0.008226,-0.387391,-0.233699,-5.131474,-0.112553,-2.978084,-0.121146,-3.644002
