"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.215885,-1.665437,-0.167997,-0.805988,0.174654,0.877657,-0.342652,-1.80703
"doxy",1,-7.103849,-17.31438,1.555761,2.358179,3.33216,5.290286,-1.776399,-2.95979
"oxy",9,0.322255,10.22069,0.525116,10.35755,0.039609,0.818302,0.485507,10.5265
"doxy",9,0.035099,1.820314,-0.541543,-17.46634,-0.526431,-17.78401,-0.015112,-0.535773
"oxy",2,0.320756,6.721279,0.134149,1.748173,-0.082148,-1.121278,0.216296,3.098376
"doxy",2,0.308204,11.2712,-0.446634,-10.15791,0.613116,14.60545,-1.059749,-26.4937
"oxy",10,0.025522,0.490248,0.5317,6.351593,0.364399,4.559451,0.167301,2.196854
"doxy",10,-0.036819,-1.372529,-0.358351,-8.307717,0.016054,0.389821,-0.374405,-9.541152
"oxy",3,0,0,0,0,0,0,0,0
"doxy",3,0,0,0,0,0,0,0,0
"oxy",11,0.440706,14.29056,0.605973,12.22008,-0.38443,-8.120042,0.990403,21.9543
"doxy",11,0.23541,9.300526,-0.064216,-1.577772,0.101757,2.618717,-0.165973,-4.482573
"oxy",4,0.844073,19.99704,0.522521,7.698581,-0.12823,-1.978855,0.650751,10.53921
"doxy",4,0.025688,1.002901,-0.611616,-14.85007,0.461659,11.74061,-1.073275,-28.6449
"oxy",12,-0.260217,-5.423185,0.654134,8.478246,0.79197,10.75146,-0.137836,-1.963757
"doxy",12,-0.449897,-9.606734,0.239157,3.175898,1.402964,19.51412,-1.163807,-16.98832
"oxy",5,0,0,0,0,0,0,0,0
"doxy",5,0,0,0,0,0,0,0,0
"oxy",13,0.942351,27.97815,0.738987,13.6447,-0.266566,-5.155277,1.005553,20.40886
"doxy",13,-0.049993,-1.464108,-0.017745,-0.323194,0.291502,5.560858,-0.309247,-6.191177
"oxy",6,0.115036,1.983305,0.790863,8.479669,0.470349,5.282228,0.320514,3.77756
"doxy",6,-0.084506,-2.621781,-0.75046,-14.47956,0.461396,9.324416,-1.211856,-25.70193
"oxy",14,0.19382,3.671953,0.252569,2.975769,0.397862,4.909891,-0.145294,-1.881709
"doxy",14,0.24379,9.490272,0.027447,0.66447,0.374569,9.498042,-0.347122,-9.237441
"oxy",7,0.769619,27.99096,1.127812,25.50936,0.432074,10.23624,0.695738,17.29796
"doxy",7,0.21016,10.29706,-0.416046,-12.67723,-0.069428,-2.215847,-0.346617,-11.60967
"oxy",15,0.580663,10.12843,1.455938,15.7936,1.296728,14.73353,0.15921,1.898434
"doxy",15,-0.040733,-1.114621,0.03318,0.564644,0.667423,11.89651,-0.634243,-11.86427
"oxy",8,-0.119751,-2.16675,0.68206,7.674892,0.949774,11.1941,-0.267713,-3.31136
"doxy",8,-0.567537,-12.33298,-0.837062,-11.31232,0.360288,5.099924,-1.19735,-17.78696
"oxy",16,0.219656,3.49071,0.884625,8.742794,0.772578,7.99747,0.112047,1.217248
"doxy",16,-0.292446,-8.178571,-0.103334,-1.797194,0.693223,12.62828,-0.796557,-15.22843
