"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-8.797162,-21.76933,4.101449,12.46002,1.103957,3.196335,4.101449,12.46002,1.103957,3.196335,-2.997492,-7.621864,5.205405,9.493985
"doxy",1,-15.9129,-20.72922,7.324273,11.71324,2.508417,3.823235,7.324273,11.71324,2.508417,3.823235,-4.815856,-6.446257,9.832689,9.44055
"oxy",9,-0.197483,-14.48946,0.111029,10.00091,-0.347672,-29.84625,0.111029,10.00091,-0.347672,-29.84625,-0.458702,-34.58224,-0.236643,-12.79696
"doxy",9,0.127458,16.88873,-0.012541,-2.040096,0.151851,23.54199,-0.012541,-2.040096,0.151851,23.54199,0.164392,22.38257,0.13931,13.60506
"oxy",2,-0.751402,-40.09259,0.486463,31.86549,0.012865,0.803147,0.486463,31.86549,0.012865,0.803147,-0.473598,-25.96584,0.499328,19.63672
"doxy",2,-0.011863,-1.735588,-0.020496,-3.681426,-0.043485,-7.444071,-0.020496,-3.681426,-0.043485,-7.444071,-0.02299,-3.4562,-0.063981,-6.899445
"oxy",10,-0.436774,-23.73091,0.325679,21.72329,-0.272137,-17.29984,0.325679,21.72329,-0.272137,-17.29984,-0.597815,-33.37529,0.053542,2.144087
"doxy",10,-0.014472,-1.403706,0.138525,16.49519,0.020572,2.334665,0.138525,16.49519,0.020572,2.334665,-0.117953,-11.756,0.159098,11.37375
"oxy",3,13.59566,30.4225,2.313305,6.354866,0.102745,0.269,2.313305,6.354866,0.102745,0.269,-2.21056,-5.082735,2.41605,3.984665
"doxy",3,30.50777,31.30157,5.21647,6.570695,-0.497477,-0.597209,5.21647,6.570695,-0.497477,-0.597209,-5.713946,-6.024104,4.718993,3.568588
"oxy",11,-0.458261,-30.20751,0.211834,17.14263,-0.286351,-22.08506,0.211834,17.14263,-0.286351,-22.08506,-0.498186,-33.74378,-0.074517,-3.620323
"doxy",11,0.042444,7.9661,-0.018946,-4.365403,0.114916,25.23526,-0.018946,-4.365403,0.114916,25.23526,0.133862,25.8159,0.09597,13.27569
"oxy",4,0.040262,4.705488,0.114442,16.41989,0.0479,6.549943,0.114442,16.41989,0.0479,6.549943,-0.066542,-7.991037,0.162342,13.98388
"doxy",4,0.220439,24.53209,-0.268565,-36.69228,0.012485,1.625688,-0.268565,-36.69228,0.012485,1.625688,0.28105,32.13887,-0.25608,-21.00454
"oxy",12,-0.241555,-18.32719,0.247538,23.05685,-0.208479,-18.50716,0.247538,23.05685,-0.208479,-18.50716,-0.456017,-35.55176,0.039059,2.18418
"doxy",12,0.020014,3.607937,-0.023857,-5.279936,0.002881,0.607733,-0.023857,-5.279936,0.002881,0.607733,0.026739,4.952991,-0.020976,-2.787037
"oxy",5,8.936485,27.1969,1.329162,4.966031,-0.594427,-2.116649,1.329162,4.966031,-0.594427,-2.116649,-1.923589,-6.015412,0.734735,1.648065
"doxy",5,31.07844,31.05258,5.219206,6.402092,0.025196,0.029455,5.219206,6.402092,0.025196,0.029455,-5.194011,-5.332635,5.244401,3.86212
"oxy",13,-0.675367,-43.30185,0.200436,15.77689,-0.116467,-8.737134,0.200436,15.77689,-0.116467,-8.737134,-0.316903,-20.87826,0.083968,3.968025
"doxy",13,0.185283,34.34257,-0.017803,-4.050988,0.051655,11.2024,-0.017803,-4.050988,0.051655,11.2024,0.069458,13.22881,0.033853,4.624698
"oxy",6,-0.479711,-28.51076,0.358109,26.12905,-0.099969,-6.951751,0.358109,26.12905,-0.099969,-6.951751,-0.458079,-27.97499,0.25814,11.30773
"doxy",6,-0.129069,-17.78254,0.085789,14.51059,0.01483,2.390674,0.085789,14.51059,0.01483,2.390674,-0.070959,-10.04572,0.10062,10.21755
"oxy",14,-0.462586,-38.1086,0.22193,22.44534,0.044772,4.315543,0.22193,22.44534,0.044772,4.315543,-0.177158,-14.99659,0.266702,16.19381
"doxy",14,0.25215,42.60308,-0.064652,-13.41041,-0.058027,-11.47128,-0.064652,-13.41041,-0.058027,-11.47128,0.006625,1.150118,-0.122679,-15.27721
"oxy",7,-0.117564,-7.265781,0.368333,27.94644,-0.319608,-23.11123,0.368333,27.94644,-0.319608,-23.11123,-0.687941,-43.68769,0.048724,2.219448
"doxy",7,0.164992,23.06245,-0.026859,-4.60902,0.048743,7.971793,-0.026859,-4.60902,0.048743,7.971793,0.075602,10.8587,0.021885,2.254613
"oxy",15,-0.480158,-32.69261,0.277559,23.20059,-0.102289,-8.148766,0.277559,23.20059,-0.102289,-8.148766,-0.379848,-26.57513,0.17527,8.79556
"doxy",15,0.151562,29.73455,-0.027774,-6.689549,-0.001039,-0.238502,-0.027774,-6.689549,-0.001039,-0.238502,0.026735,5.389646,-0.028813,-4.166384
"oxy",8,-0.531083,-19.39134,0.745289,33.40792,-0.35102,-14.99601,0.745289,33.40792,-0.35102,-14.99601,-1.09631,-41.13197,0.394269,10.61035
"doxy",8,-0.424708,-22.62629,0.327107,21.394,-0.08928,-5.565105,0.327107,21.394,-0.08928,-5.565105,-0.416387,-22.794,0.237827,9.338481
"oxy",16,-0.883525,-63.01494,0.136728,11.97181,0.094212,7.861929,0.136728,11.97181,0.094212,7.861929,-0.042515,-3.115822,0.23094,12.13989
"doxy",16,0.101436,15.05439,-0.048101,-8.764131,-0.142,-24.658,-0.048101,-8.764131,-0.142,-24.658,-0.093899,-14.31962,-0.190102,-20.79451
