"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,0.53038,8.984291,0.298328,5.979048,-0.374291,-7.501276,0.298328,5.979048,-0.374291,-7.501276,-0.672619,-11.2392,-0.075963,-0.951242
"doxy",1,2.857235,25.13431,-2.624739,-27.31796,-2.887742,-30.05445,-2.624739,-27.31796,-2.887742,-30.05445,-0.263003,-2.282187,-5.51248,-35.84778
"oxy",9,0.439991,33.62761,0.268666,24.29443,-0.20483,-18.52143,0.268666,24.29443,-0.20483,-18.52143,-0.473496,-35.69752,0.063837,3.606756
"doxy",9,0.029974,3.483442,-0.178685,-24.5691,0.26817,36.87223,-0.178685,-24.5691,0.26817,36.87223,0.446855,51.22665,0.089485,7.687829
"oxy",2,0.375289,25.33931,0.182513,14.58023,-0.381369,-30.4652,0.182513,14.58023,-0.381369,-30.4652,-0.563882,-37.55666,-0.198856,-9.925717
"doxy",2,-0.098708,-19.43492,0.072063,16.78745,0.055467,12.9208,0.072063,16.78745,0.055467,12.9208,-0.016597,-3.223464,0.12753,18.56244
"oxy",10,0.711928,43.17196,0.238338,17.10016,-0.102728,-7.370291,0.238338,17.10016,-0.102728,-7.370291,-0.341066,-20.40206,0.13561,6.079266
"doxy",10,0.11287,14.22437,-0.132171,-19.70749,0.195645,29.17105,-0.132171,-19.70749,0.195645,29.17105,0.327817,40.75244,0.063474,5.913493
"oxy",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doxy",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oxy",11,0.626482,53.90919,0.17592,17.91058,-0.189472,-19.28979,0.17592,17.91058,-0.189472,-19.28979,-0.365391,-31.01571,-0.013552,-0.862082
"doxy",11,0.146461,17.44491,-0.050332,-7.093068,0.243381,34.29752,-0.050332,-7.093068,0.243381,34.29752,0.293713,34.50959,0.193048,16.9984
"oxy",4,0.156776,13.29442,0.136056,13.65044,-0.209703,-21.03892,0.136056,13.65044,-0.209703,-21.03892,-0.345759,-28.92223,-0.073648,-4.616805
"doxy",4,-0.11197,-21.4263,0.092539,20.9513,0.0523,11.84071,0.092539,20.9513,0.0523,11.84071,-0.040239,-7.595555,0.144839,20.48922
"oxy",12,0.880625,58.77048,0.032089,2.533764,-0.087965,-6.945588,0.032089,2.533764,-0.087965,-6.945588,-0.120054,-7.90343,-0.055876,-2.756702
"doxy",12,0.153172,17.69804,-0.039252,-5.365971,0.197794,27.03888,-0.039252,-5.365971,0.197794,27.03888,0.237046,27.01769,0.158542,13.54207
"oxy",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doxy",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oxy",13,0.199763,16.38898,0.271861,26.38906,-0.200062,-19.41916,0.271861,26.38906,-0.200062,-19.41916,-0.471923,-38.19239,0.071799,4.354584
"doxy",13,-0.140227,-18.39075,-0.055708,-8.644279,0.141977,22.03,-0.055708,-8.644279,0.141977,22.03,0.197685,25.57474,0.086269,8.364002
"oxy",6,0.692005,48.53033,0.25529,21.1826,-0.093965,-7.796458,0.25529,21.1826,-0.093965,-7.796458,-0.349255,-24.16105,0.161326,8.363761
"doxy",6,-0.075503,-14.11248,-0.081386,-17.99818,0.159172,35.19955,-0.081386,-17.99818,0.159172,35.19955,0.240558,44.35365,0.077787,10.74831
"oxy",14,-0.105553,-5.398027,0.307844,18.62677,-0.171272,-10.36292,0.307844,18.62677,-0.171272,-10.36292,-0.479116,-24.16997,0.136572,5.163219
"doxy",14,-0.143372,-20.53321,0.227713,38.58521,0.077834,13.18839,0.227713,38.58521,0.077834,13.18839,-0.149879,-21.17393,0.305548,32.34926
"oxy",7,0.450339,40.73871,0.292684,31.32623,-0.114306,-12.23397,0.292684,31.32623,-0.114306,-12.23397,-0.406991,-36.31797,0.178378,11.92897
"doxy",7,-0.049039,-7.585281,-0.167401,-30.63578,0.101081,18.49814,-0.167401,-30.63578,0.101081,18.49814,0.268482,40.96511,-0.06632,-7.583492
"oxy",15,0.123599,9.520003,0.256629,23.38677,-0.146495,-13.34981,0.256629,23.38677,-0.146495,-13.34981,-0.403124,-30.6289,0.110134,6.271042
"doxy",15,-0.129132,-14.79501,-0.107956,-14.63415,0.107886,14.62434,-0.107956,-14.63415,0.107886,14.62434,0.215842,24.39417,-6.94615e-05,-0.005883
"oxy",8,0.639248,39.77776,0.28933,21.30128,-0.124617,-9.174375,0.28933,21.30128,-0.124617,-9.174375,-0.413947,-25.40885,0.164713,7.576947
"doxy",8,0.029074,4.036712,-0.095929,-15.75835,0.076885,12.62959,-0.095929,-15.75835,0.076885,12.62959,0.172814,23.66832,-0.019044,-1.954692
"oxy",16,-0.028036,-1.475128,0.002944,0.183266,0.046797,2.913135,0.002944,0.183266,0.046797,2.913135,0.043853,2.276055,0.04974,1.934734
"doxy",16,-0.120819,-14.67656,-0.015011,-2.157451,0.163266,23.46473,-0.015011,-2.157451,0.163266,23.46473,0.178277,21.36265,0.148255,13.31355
