"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.305364,-28.01754,0.048437,6.590374,0.048437,6.590374
"doxy",1,0.243768,26.32661,0.006839,1.095237,0.006839,1.095237
"oxy",9,0.046304,2.746114,0.10232,8.9989,0.10232,8.9989
"doxy",9,-0.12199,-15.9268,-0.00347,-0.671777,-0.00347,-0.671777
"oxy",2,-0.578568,-40.83765,0.111537,11.67486,0.111537,11.67486
"doxy",2,0.040611,10.00853,0.020569,7.517266,0.020569,7.517266
"oxy",10,-0.264619,-15.4553,0.058328,5.051964,0.058328,5.051964
"doxy",10,-0.077078,-14.74284,0.028431,8.064221,0.028431,8.064221
"oxy",3,9.745877,17.11292,1.497759,3.90005,1.497759,3.90005
"doxy",3,40.00087,21.94316,6.277554,5.106756,6.277554,5.106756
"oxy",11,0.002121,0.139694,0.070326,6.868075,0.070326,6.868075
"doxy",11,0.040745,5.891676,0.013004,2.7884,0.013004,2.7884
"oxy",4,-0.405672,-31.44882,0.14554,16.73155,0.14554,16.73155
"doxy",4,-0.004882,-1.005178,-0.032762,-10.00384,-0.032762,-10.00384
"oxy",12,-0.157307,-10.30776,0.019806,1.924546,0.019806,1.924546
"doxy",12,0.025183,6.113889,-0.05632,-20.27628,-0.05632,-20.27628
"oxy",5,9.887836,46.91137,-0.154418,-1.086426,-0.154418,-1.086426
"doxy",5,40.984,58.51807,-1.708224,-3.616972,-1.708224,-3.616972
"oxy",13,-0.19804,-14.89958,0.161415,18.00898,0.161415,18.00898
"doxy",13,0.058432,8.917853,-0.031573,-7.14591,-0.031573,-7.14591
"oxy",6,-0.312319,-22.82705,0.121178,13.13413,0.121178,13.13413
"doxy",6,0.00487,0.922433,0.013175,3.700629,0.013175,3.700629
"oxy",14,-0.530416,-42.67807,0.098678,11.77422,0.098678,11.77422
"doxy",14,0.074787,17.25966,-0.040957,-14.01726,-0.040957,-14.01726
"oxy",7,-0.143647,-11.49855,0.204849,24.31669,0.204849,24.31669
"doxy",7,-0.031511,-6.423139,0.066046,19.96466,0.066046,19.96466
"oxy",15,-0.196342,-16.68071,0.142176,17.91227,0.142176,17.91227
"doxy",15,0.077344,10.38532,-0.054049,-10.76237,-0.054049,-10.76237
"oxy",8,-0.229924,-18.2413,0.172467,20.29099,0.172467,20.29099
"doxy",8,-0.024505,-4.337069,0.113402,29.76368,0.113402,29.76368
"oxy",16,-0.39135,-31.40081,0.184644,21.97029,0.184644,21.97029
"doxy",16,0.062712,11.83319,-0.010273,-2.874557,-0.010273,-2.874557
