"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,0.051608,2.589874,-0.356837,-23.12442,0.071071,4.33233,-0.356837,-23.12442,0.071071,4.33233,0.427908,21.89323,-0.285767,-11.36306
"doxy",1,0.221691,44.44348,0.066839,17.3033,0.012,2.922229,0.066839,17.3033,0.012,2.922229,-0.054839,-11.20847,0.078839,12.52345
"oxy",9,-0.123357,-4.567746,-0.374448,-17.90465,-0.154962,-6.969935,-0.374448,-17.90465,-0.154962,-6.969935,0.219486,8.285916,-0.529409,-15.53279
"doxy",9,0.228605,23.45066,0.062907,8.333141,0.105021,13.08614,0.062907,8.333141,0.105021,13.08614,0.042113,4.404374,0.167928,13.6494
"oxy",2,0.135674,9.955364,-0.20042,-18.99061,-0.015751,-1.403876,-0.20042,-18.99061,-0.015751,-1.403876,0.18467,13.81501,-0.216171,-12.56835
"doxy",2,0.206493,43.60089,0.143175,39.03846,0.066414,17.03398,0.143175,39.03846,0.066414,17.03398,-0.076761,-16.52433,0.209589,35.0653
"oxy",10,-0.380411,-14.71243,-0.323641,-16.16335,-0.172296,-8.094206,-0.323641,-16.16335,-0.172296,-8.094206,0.151344,5.967508,-0.495937,-15.19771
"doxy",10,0.216068,16.94915,0.178451,18.07643,0.074268,7.076584,0.178451,18.07643,0.074268,7.076584,-0.104183,-8.332026,0.252719,15.70777
"oxy",3,-0.000898,-0.037273,-0.202263,-10.84228,-0.089578,-4.516825,-0.202263,-10.84228,-0.089578,-4.516825,0.112685,4.769037,-0.29184,-9.599155
"doxy",3,0.244197,51.68187,0.105947,28.955,0.032662,8.396675,0.105947,28.955,0.032662,8.396675,-0.073285,-15.81281,0.138609,23.24393
"oxy",11,-0.093807,-3.189577,-0.26556,-11.66001,-0.133327,-5.506599,-0.26556,-11.66001,-0.133327,-5.506599,0.132233,4.583905,-0.398886,-10.74655
"doxy",11,0.276689,34.55074,0.158335,25.53171,0.076812,11.65088,0.158335,25.53171,0.076812,11.65088,-0.081524,-10.37875,0.235147,23.26616
"oxy",4,0.167614,5.864762,-0.23057,-10.41787,-0.087651,-3.7253,-0.23057,-10.41787,-0.087651,-3.7253,0.142919,5.098306,-0.31822,-8.822422
"doxy",4,0.259137,33.28527,0.179441,29.76324,0.076244,11.89581,0.179441,29.76324,0.076244,11.89581,-0.103197,-13.51402,0.255685,26.02238
"oxy",12,-0.006012,-0.220111,-0.251662,-11.89796,-0.084543,-3.759772,-0.251662,-11.89796,-0.084543,-3.759772,0.167119,6.237926,-0.336205,-9.753089
"doxy",12,0.2086,25.03224,0.153966,23.85862,0.075901,11.06359,0.153966,23.85862,0.075901,11.06359,-0.078065,-9.550743,0.229866,21.85646
"oxy",5,0.008766,0.312704,-0.275784,-12.70327,-0.187363,-8.118223,-0.275784,-12.70327,-0.187363,-8.118223,0.088421,3.21558,-0.463147,-13.09028
"doxy",5,0.186787,24.07648,0.138518,23.0562,0.012294,1.924907,0.138518,23.0562,0.012294,1.924907,-0.126224,-16.58753,0.150812,15.40285
"oxy",13,-0.191919,-7.851926,-0.26836,-14.17792,-0.133275,-6.623297,-0.26836,-14.17792,-0.133275,-6.623297,0.135085,5.634561,-0.401635,-13.01997
"doxy",13,0.169082,25.56536,0.148852,29.06326,0.065,11.93816,0.148852,29.06326,0.065,11.93816,-0.083851,-12.92583,0.213852,25.6205
