"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,0.074731,4.505329,0.256074,22.85486,0.256074,22.85486
"doxy",1,-0.149045,-25.62293,0.009523,2.423567,0.009523,2.423567
"oxy",9,0.089766,5.798434,0.258166,24.68767,0.258166,24.68767
"doxy",9,-0.190713,-31.9239,-0.019981,-4.951583,-0.019981,-4.951583
"oxy",2,-0.150149,-14.43831,0.215034,30.61153,0.215034,30.61153
"doxy",2,-0.145929,-27.53513,-0.038756,-10.8259,-0.038756,-10.8259
"oxy",10,0.132964,8.633013,0.375517,36.09468,0.375517,36.09468
"doxy",10,-0.079942,-9.93445,0.045761,8.418888,0.045761,8.418888
"oxy",3,-0.041942,-3.019293,0.397242,42.33495,0.397242,42.33495
"doxy",3,-0.193765,-42.16077,-0.053068,-17.09435,-0.053068,-17.09435
"oxy",11,0.150561,9.067148,0.404322,36.04704,0.404322,36.04704
"doxy",11,-0.142656,-24.62386,0.013907,3.553626,0.013907,3.553626
"oxy",4,-0.125137,-8.329047,0.35025,34.51212,0.35025,34.51212
"doxy",4,-0.133873,-22.46805,-0.035506,-8.821916,-0.035506,-8.821916
"oxy",12,0.097523,6.217894,0.36101,34.07528,0.36101,34.07528
"doxy",12,-0.026574,-5.139603,-0.006435,-1.842579,-0.006435,-1.842579
"oxy",5,0.024657,1.444447,0.475464,41.23432,0.475464,41.23432
"doxy",5,-0.258622,-39.71247,0.018288,4.1573,0.018288,4.1573
"oxy",13,0.014895,1.13275,0.341828,38.4833,0.341828,38.4833
"doxy",13,-0.134469,-23.30825,-0.004329,-1.110851,-0.004329,-1.110851
"oxy",6,0.058265,3.225942,0.429939,35.24012,0.429939,35.24012
"doxy",6,-0.115638,-18.45657,0.004954,1.170621,0.004954,1.170621
"oxy",14,0.013686,0.965622,0.341051,35.62224,0.341051,35.62224
"doxy",14,-0.073861,-11.82296,-0.031254,-7.406299,-0.031254,-7.406299
"oxy",7,0.042764,2.980015,0.319247,32.93495,0.319247,32.93495
"doxy",7,-0.163745,-25.6293,-0.043488,-10.07677,-0.043488,-10.07677
"oxy",15,-0.021536,-1.674092,0.310995,35.7897,0.310995,35.7897
"doxy",15,-0.140004,-16.96759,-0.048813,-8.757886,-0.048813,-8.757886
"oxy",8,0.113365,8.461104,0.334286,36.9361,0.334286,36.9361
"doxy",8,-0.084962,-11.63004,1.726462e-05,0.003499,1.726462e-05,0.003499
"oxy",16,0.035037,2.560221,0.115338,12.47676,0.115338,12.47676
"doxy",16,-0.208702,-26.8033,-0.029565,-5.621037,-0.029565,-5.621037
