"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,-0.0375,-1.797079,0.072955,2.136409,0.070478,2.164502,0.002477,0.083733
"doxy",1,-0.092465,-11.20572,-0.018523,-1.371702,-0.073671,-5.721712,0.055148,4.714301
"oxy",9,0.037464,2.471818,0.304893,12.29267,0.015633,0.661031,0.28926,13.46228
"doxy",9,0.023857,6.115577,0.07871,12.3295,-0.003429,-0.563369,0.082139,14.85245
"oxy",2,-0.407611,-22.67796,0.228254,7.760136,0.395461,14.10034,-0.167207,-6.562
"doxy",2,-0.114233,-17.2889,-0.054591,-5.048775,-0.009649,-0.935929,-0.044941,-4.797828
"oxy",10,-0.492051,-17.89238,0.595442,13.23093,0.662965,15.4496,-0.067523,-1.731958
"doxy",10,-0.653706,-28.02773,0.399918,10.47779,0.680676,18.70313,-0.280757,-8.491056
"oxy",3,-0.220783,-21.60392,-0.003465,-0.207177,0.267863,16.79763,-0.271327,-18.72775
"doxy",3,-0.119678,-18.78188,-0.100601,-9.647544,-0.05476,-5.507483,-0.045841,-5.074584
"oxy",11,-0.042384,-2.392815,0.343722,11.85785,0.013064,0.472644,0.330658,13.16771
"doxy",11,0.012008,2.17275,0.106979,11.82823,-0.013709,-1.589627,0.120688,15.40339
"oxy",4,0.171003,13.5633,0.154408,7.483821,0.066675,3.389153,0.087733,4.908503
"doxy",4,-0.096477,-12.37952,-0.050406,-3.952364,-0.117003,-9.621516,0.066596,6.027741
"oxy",12,0.195717,6.172079,0.552558,10.64816,-0.068549,-1.385395,0.621108,13.8164
"doxy",12,0.153157,9.340844,0.204582,7.624472,-0.135902,-5.311806,0.340484,14.64772
"oxy",5,-0.157638,-18.2202,0.063651,4.495634,0.200725,14.86829,-0.137073,-11.17558
"doxy",5,-0.365014,-46.84839,-0.163836,-12.84952,-0.030971,-2.547463,-0.132865,-12.02874
"oxy",13,-0.181932,-22.4733,-0.002844,-0.214702,0.093471,7.399551,-0.096316,-8.392284
"doxy",13,-0.177419,-30.89459,-0.067876,-7.222549,0.071013,7.924784,-0.138889,-17.05979
"oxy",6,0.079298,6.13868,0.183968,8.702572,0.128446,6.372369,0.055522,3.031818
"doxy",6,-0.111472,-11.72305,-0.012451,-0.80018,-0.228765,-15.41815,0.216314,16.04658
"oxy",14,-0.054401,-3.012817,0.209938,7.104826,-0.017571,-0.623632,0.227509,8.887758
"doxy",14,-0.013371,-1.054211,-0.142092,-6.845869,-0.174127,-8.798342,0.032035,1.781627
"oxy",7,-0.210633,-21.26461,0.039465,2.434641,0.202604,13.10834,-0.163139,-11.61753
"doxy",7,-0.137597,-27.81731,-0.102275,-12.63486,-0.003181,-0.41216,-0.099094,-14.1312
"oxy",15,-0.051123,-4.779832,0.19649,11.22608,0.049594,2.971602,0.146896,9.687908
"doxy",15,-0.073299,-12.33404,-0.088312,-9.080707,-0.105242,-11.3492,0.01693,2.009519
"oxy",8,-0.034988,-1.846003,0.210931,6.800644,0.074812,2.529623,0.136119,5.065944
"doxy",8,0.089856,8.930753,0.131361,7.978112,-0.217844,-13.87566,0.349205,24.4819
"oxy",16,-0.049028,-2.674641,0.418509,13.95143,0.079047,2.763606,0.339461,13.06281
"doxy",16,0.115651,10.31612,-0.022247,-1.212648,-0.294726,-16.84821,0.272479,17.14448
