"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,0.42557,10.8893,-0.565329,-8.669793,-0.995668,-16.15078,0.430339,7.764125
"doxy",1,-0.539796,-25.7648,-0.167092,-4.780041,0.063719,1.928056,-0.230811,-7.767963
"oxy",9,1.156241,32.69581,0.005909,0.100155,-0.972167,-17.4275,0.978077,19.50157
"doxy",9,0.283804,21.24403,0.08275,3.712516,-0.13423,-6.369681,0.21698,11.45227
"oxy",2,1.178141,31.62114,0.080285,1.291505,-0.507157,-8.629243,0.587442,11.11727
"doxy",2,-0.180872,-16.69831,-0.11335,-6.271955,-0.113616,-6.649548,0.000266,0.017316
"oxy",10,0.413059,19.64698,-0.161988,-4.617904,-0.552841,-16.66995,0.390853,13.10842
"doxy",10,-0.183432,-11.21643,-0.196942,-7.217714,-0.230437,-8.93271,0.033494,1.444124
"oxy",3,0.544332,23.27059,-0.22891,-5.865273,-0.569246,-15.42743,0.340335,10.25896
"doxy",3,0.360907,21.13626,0.191502,6.721788,-0.181416,-6.735333,0.372918,15.39923
"oxy",11,1.388635,38.58084,0.382084,6.362416,-0.632189,-11.13476,1.014273,19.86971
"doxy",11,0.228983,19.12271,0.250442,12.53523,0.065341,3.459239,0.185101,10.89954
"oxy",4,0.104167,4.140759,-0.138492,-3.299547,-0.071963,-1.813468,-0.066529,-1.864723
"doxy",4,-0.3329,-20.10597,-0.230687,-8.350511,-0.083474,-3.196057,-0.147212,-6.269146
"oxy",12,0.655235,34.12687,0.176391,5.506233,-0.33086,-10.92432,0.507251,18.62839
"doxy",12,-0.347246,-25.61772,-0.191647,-8.473933,0.147927,6.918315,-0.339574,-17.66406
"oxy",5,0.431702,19.74389,-0.282299,-7.738145,-0.420052,-12.17873,0.137753,4.442245
"doxy",5,0.062741,4.349403,-0.191075,-7.938859,-0.261301,-11.48332,0.070227,3.432652
"oxy",13,1.240857,42.27206,-0.0966,-1.972365,-0.720154,-15.55276,0.623554,14.97817
"doxy",13,-0.106906,-20.57222,-0.018123,-2.090229,0.007926,0.966923,-0.026049,-3.534511
"oxy",6,-0.071949,-2.842842,-0.358363,-8.486596,-0.271605,-6.803284,-0.086759,-2.417107
"doxy",6,-0.277967,-12.85796,-0.470828,-13.0533,-0.401677,-11.77893,-0.069151,-2.255435
"oxy",14,0.929163,30.39393,-0.175569,-3.442087,-0.446653,-9.262231,0.271084,6.252473
"doxy",14,-0.368255,-29.1104,-0.233658,-11.07033,0.086312,4.325361,-0.319971,-17.83458
"oxy",7,1.032459,25.52713,0.000711,0.010541,-0.866812,-13.58641,0.867524,15.12388
"doxy",7,0.537463,26.95517,0.047167,1.417773,-0.482088,-15.32748,0.529255,18.71593
"oxy",15,1.704145,43.55235,0.229391,3.513675,-1.036002,-16.78479,1.265393,22.80255
"doxy",15,-0.415084,-36.74755,-0.510577,-27.09147,-0.038869,-2.181447,-0.471708,-29.44546
"oxy",8,0.028948,1.278311,-0.266963,-7.065664,-0.22693,-6.352781,-0.040034,-1.246522
"doxy",8,-0.217683,-9.806333,-0.360701,-9.738888,-0.32659,-9.326888,-0.03411,-1.083486
"oxy",16,1.22206,41.58368,0.15358,3.132156,-0.585827,-12.63719,0.739407,17.74055
"doxy",16,-0.167636,-16.01819,-0.273727,-15.67626,-0.167611,-10.15314,-0.106115,-7.149506
