"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,0.033145,2.014255,-0.023017,-1.679695,-0.076555,-5.561362,-0.023017,-1.679695,-0.076555,-5.561362,-0.053537,-3.416928,-0.099572,-4.413294
"doxy",1,-0.489584,-14.35708,-0.237742,-8.371834,-0.237801,-8.336064,-0.237742,-8.371834,-0.237801,-8.336064,-5.97502e-05,-0.00184,-0.475543,-10.17076
"oxy",9,0.180832,19.43429,-0.079921,-10.31406,-0.123138,-15.81952,-0.079921,-10.31406,-0.123138,-15.81952,-0.043217,-4.877829,-0.203058,-15.91622
"doxy",9,-0.013543,-5.501646,0.017667,8.618229,0.02254,10.94532,0.017667,8.618229,0.02254,10.94532,0.004872,2.078716,0.040207,11.91237
"oxy",2,0.142729,9.935479,-0.100375,-8.390352,-0.045331,-3.772055,-0.100375,-8.390352,-0.045331,-3.772055,0.055045,4.024085,-0.145706,-7.397402
"doxy",2,-0.078167,-11.2508,-0.029644,-5.123589,-0.047062,-8.097275,-0.029644,-5.123589,-0.047062,-8.097275,-0.017418,-2.632904,-0.076706,-8.052204
"oxy",10,0.208159,16.08467,-0.065807,-6.10614,-0.13156,-12.15205,-0.065807,-6.10614,-0.13156,-12.15205,-0.065753,-5.335926,-0.197368,-11.12288
"doxy",10,-0.077984,-8.487306,-0.098595,-12.88542,-0.126212,-16.42006,-0.098595,-12.88542,-0.126212,-16.42006,-0.027617,-3.156569,-0.224807,-17.84437
"oxy",3,0.155831,15.32925,-0.022584,-2.667687,-0.06077,-7.14601,-0.022584,-2.667687,-0.06077,-7.14601,-0.038186,-3.94505,-0.083354,-5.980193
"doxy",3,-0.089854,-10.68006,-0.057592,-8.220105,-0.05181,-7.361287,-0.057592,-8.220105,-0.05181,-7.361287,0.005783,0.721855,-0.109402,-9.48387
"oxy",11,0.260948,25.3829,-0.037922,-4.429508,-0.050102,-5.825752,-0.037922,-4.429508,-0.050102,-5.825752,-0.01218,-1.244277,-0.088024,-6.244739
"doxy",11,-0.111106,-32.15854,0.027656,9.612278,0.023907,8.271641,0.027656,9.612278,0.023907,8.271641,-0.003749,-1.139627,0.051563,10.88485
"oxy",4,0.032189,2.561576,0.038581,3.686755,0.117589,11.18585,0.038581,3.686755,0.117589,11.18585,0.079008,6.603013,0.15617,9.063934
"doxy",4,-0.213085,-19.236,0.098713,10.70076,0.014266,1.539429,0.098713,10.70076,0.014266,1.539429,-0.084448,-8.006204,0.112979,7.43848
"oxy",12,0.034628,1.833436,0.176409,11.21594,-0.008133,-0.514771,0.176409,11.21594,-0.008133,-0.514771,-0.184542,-10.2615,0.168275,6.498072
"doxy",12,-0.136119,-12.74938,0.169171,19.02716,0.081773,9.155622,0.169171,19.02716,0.081773,9.155622,-0.087398,-8.597081,0.250944,17.14244
"oxy",5,0.150113,19.87867,-0.089178,-14.18087,-0.082647,-13.08286,-0.089178,-14.18087,-0.082647,-13.08286,0.006531,0.908314,-0.171824,-16.59507
"doxy",5,-0.212081,-29.23325,-0.046347,-7.67134,-0.082909,-13.66105,-0.046347,-7.67134,-0.082909,-13.66105,-0.036562,-5.292763,-0.129255,-12.99419
"oxy",13,0.160181,18.75592,-0.061493,-8.646271,-0.095079,-13.30818,-0.061493,-8.646271,-0.095079,-13.30818,-0.033586,-4.130094,-0.156571,-13.37104
"doxy",13,-0.184769,-27.64488,-0.018157,-3.26209,-0.078847,-14.10201,-0.018157,-3.26209,-0.078847,-14.10201,-0.060691,-9.536417,-0.097004,-10.58522
"oxy",6,0.113444,14.40278,0.029269,4.462274,0.072287,10.97062,0.029269,4.462274,0.072287,10.97062,0.043017,5.735661,0.101556,9.403635
"doxy",6,-0.228853,-29.68417,0.069512,10.82691,-0.011729,-1.818632,0.069512,10.82691,-0.011729,-1.818632,-0.081241,-11.06677,0.057783,5.466273
"oxy",14,0.007741,0.378368,0.204755,12.01725,0.068162,3.982382,0.204755,12.01725,0.068162,3.982382,-0.136593,-7.011317,0.272916,9.72857
"doxy",14,-0.29338,-19.88741,0.257972,20.99889,0.123966,10.04515,0.257972,20.99889,0.123966,10.04515,-0.134006,-9.540011,0.381937,18.88271
"oxy",7,0.129783,19.18502,0.018582,3.298451,-0.022289,-3.938663,0.018582,3.298451,-0.022289,-3.938663,-0.040871,-6.345089,-0.003707,-0.399709
"doxy",7,-0.106629,-26.07677,-0.058667,-17.22868,-0.081356,-23.78345,-0.058667,-17.22868,-0.081356,-23.78345,-0.022688,-5.827173,-0.140023,-24.97487
"oxy",15,0.102233,11.92587,0.040637,5.692368,0.023694,3.304064,0.040637,5.692368,0.023694,3.304064,-0.016942,-2.075636,0.064331,5.473214
"doxy",15,-0.319277,-39.76961,0.118725,17.75832,-0.01256,-1.87014,0.118725,17.75832,-0.01256,-1.87014,-0.131284,-17.1741,0.106165,9.644726
"oxy",8,0.113126,9.706429,0.19344,19.93057,0.166267,17.05345,0.19344,19.93057,0.166267,17.05345,-0.027172,-2.448518,0.359707,22.50978
"doxy",8,-0.22228,-19.42049,0.038458,4.034837,-0.027655,-2.88832,0.038458,4.034837,-0.027655,-2.88832,-0.066113,-6.066335,0.010803,0.688382
