"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.623834,-5.370301,-0.704208,-8.946234,-0.704208,-8.946234
"doxy",1,-2.29977,-8.863875,-2.286264,-13.00396,-2.286264,-13.00396
"oxy",9,0.180676,16.05045,0.130836,17.15242,0.130836,17.15242
"doxy",9,0.164629,36.73419,-0.011168,-3.677571,-0.011168,-3.677571
"oxy",2,0.038602,2.411757,0.302513,27.89189,0.302513,27.89189
"doxy",2,-0.050373,-13.64094,0.06013,24.02971,0.06013,24.02971
"oxy",10,0.259034,10.94464,0.284579,17.74428,0.284579,17.74428
"doxy",10,0.102729,6.875479,0.070886,7.001367,0.070886,7.001367
"oxy",3,-0.037846,-3.74271,0.21513,31.39637,0.21513,31.39637
"doxy",3,0.035902,9.61402,-0.036329,-14.35628,-0.036329,-14.35628
"oxy",11,0.188033,15.84739,0.136242,16.94511,0.136242,16.94511
"doxy",11,0.095828,25.34143,-0.014227,-5.552258,-0.014227,-5.552258
"oxy",4,-0.062582,-6.724229,0.14788,23.44832,0.14788,23.44832
"doxy",4,0.154034,41.6003,0.00861,3.43144,0.00861,3.43144
"oxy",12,0.24929,10.90807,0.324964,20.98405,0.324964,20.98405
"doxy",12,0.322086,41.40512,0.06786,12.87381,0.06786,12.87381
"oxy",5,-0.040895,-6.611027,0.149432,35.64956,0.149432,35.64956
"doxy",5,0.10522,34.90148,-0.01806,-8.840556,-0.01806,-8.840556
"oxy",13,-0.189241,-24.49238,0.131525,25.12087,0.131525,25.12087
"doxy",13,-0.013325,-2.673572,-0.008081,-2.392638,-0.008081,-2.392638
"oxy",6,0.156866,20.13427,0.156229,29.59226,0.156229,29.59226
"doxy",6,0.284471,53.81038,0.020248,5.652296,0.020248,5.652296
"oxy",14,0.284214,12.62477,0.44514,29.17992,0.44514,29.17992
"doxy",14,0.151382,18.05557,0.082453,14.51294,0.082453,14.51294
"oxy",7,0.073857,9.348594,0.164026,30.63907,0.164026,30.63907
"doxy",7,0.123512,37.07751,0.017636,7.812964,0.017636,7.812964
"oxy",15,0.023695,2.622726,0.198625,32.44375,0.198625,32.44375
"doxy",15,0.115741,24.64122,-0.008908,-2.79888,-0.008908,-2.79888
"oxy",8,0.389742,23.19592,0.299964,26.3459,0.299964,26.3459
"doxy",8,0.315634,43.32653,0.032608,6.605479,0.032608,6.605479
"oxy",16,0.515525,38.95715,0.275798,30.7566,0.275798,30.7566
"doxy",16,0.152779,21.43362,-0.036002,-7.453623,-0.036002,-7.453623
