"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-1.806251,-9.378294,-0.453473,-3.484402,-0.453473,-3.484402
"doxy",1,-0.263009,-0.404893,-2.463885,-5.613328,-2.463885,-5.613328
"oxy",9,-0.1727,-8.495308,0.251652,18.31972,0.251652,18.31972
"doxy",9,-0.017296,-2.664781,0.019457,4.436231,0.019457,4.436231
"oxy",2,-0.288373,-16.94161,0.379024,32.95316,0.379024,32.95316
"doxy",2,-0.269334,-39.76798,-0.076288,-16.66976,-0.076288,-16.66976
"oxy",10,0.312223,12.29309,0.464575,27.06967,0.464575,27.06967
"doxy",10,0.434812,19.25205,0.100083,6.557924,0.100083,6.557924
"oxy",3,-0.209885,-13.95457,0.384049,37.78789,0.384049,37.78789
"doxy",3,-0.266745,-36.25982,-0.114247,-22.9829,-0.114247,-22.9829
"oxy",11,-0.116265,-6.158536,0.272299,21.34548,0.272299,21.34548
"doxy",11,0.063214,8.378415,0.017217,3.376959,0.017217,3.376959
"oxy",4,-0.057343,-3.861868,0.44769,44.61956,0.44769,44.61956
"doxy",4,-0.122602,-15.02621,-0.095756,-17.36794,-0.095756,-17.36794
"oxy",12,-0.225583,-11.31589,0.353617,26.25107,0.353617,26.25107
"doxy",12,-0.227569,-42.58241,-0.034043,-9.427022,-0.034043,-9.427022
"oxy",5,-0.028134,-2.521361,0.012169,1.613975,0.012169,1.613975
"doxy",5,0.036524,2.076073,-0.017136,-1.44144,-0.017136,-1.44144
"oxy",13,-0.232344,-13.23988,0.24245,20.44585,0.24245,20.44585
"doxy",13,-0.162575,-32.0265,-0.124525,-36.30305,-0.124525,-36.30305
"oxy",6,-0.029286,-1.392067,0.325765,22.91588,0.325765,22.91588
"doxy",6,-0.194433,-17.16581,-0.110768,-14.47237,-0.110768,-14.47237
"oxy",14,-0.260742,-18.29904,0.237361,24.65232,0.237361,24.65232
"doxy",14,-0.288927,-47.74156,-0.054532,-13.33494,-0.054532,-13.33494
"oxy",7,-0.126655,-5.253076,0.417132,25.60335,0.417132,25.60335
"doxy",7,-0.002193,-0.241472,-0.036519,-5.95058,-0.036519,-5.95058
"oxy",15,-0.131649,-5.338715,0.505292,30.32441,0.505292,30.32441
"doxy",15,0.015833,1.679092,0.023103,3.625797,0.023103,3.625797
"oxy",8,0.466738,19.9615,0.46169,29.22147,0.46169,29.22147
"doxy",8,0.428333,24.72746,-0.006129,-0.523615,-0.006129,-0.523615
"oxy",16,-0.360841,-19.76079,0.245676,19.91051,0.245676,19.91051
"doxy",16,-0.131654,-18.31733,-0.018559,-3.821374,-0.018559,-3.821374
