"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,13.03538,10.52085,-14.54525,-7.36487,-13.52775,-7.105661,-1.017495,-0.589216
"doxy",1,-6.30672,-4.079856,-26.67553,-10.82607,20.74872,8.73543,-47.42425,-22.01186
"oxy",9,0.230542,13.60753,-0.045247,-1.675461,0.189638,7.284607,-0.234885,-9.947163
"doxy",9,-0.081597,-7.737643,-0.187092,-11.13033,0.119279,7.361211,-0.306371,-20.84481
"oxy",2,-0.085034,-11.31842,-0.072091,-6.019866,0.038754,3.357048,-0.110844,-10.58572
"doxy",2,0.133253,11.35431,0.116471,6.226111,-0.057785,-3.20443,0.174256,10.65334
"oxy",10,0.424499,22.53762,0.132959,4.428587,-0.192162,-6.639723,0.325121,12.38485
"doxy",10,0.056039,7.114899,-0.098079,-7.812169,0.004957,0.409606,-0.103037,-9.386067
"oxy",3,0,0,0,0,0,0,0,0
"doxy",3,0,0,0,0,0,0,0,0
"oxy",11,0.766616,36.35355,0.279971,8.329103,0.064002,1.975228,0.215968,7.348079
"doxy",11,0.035597,3.661329,-0.018451,-1.190609,-0.002185,-0.146289,-0.016266,-1.200378
"oxy",4,0.267801,15.61908,0.30811,11.27369,-0.094937,-3.603564,0.403047,16.8661
"doxy",4,0.163284,18.72484,0.037347,2.686887,-0.09001,-6.717664,0.127358,10.47886
"oxy",12,0.181067,10.39439,0.162545,5.853964,-0.111887,-4.180135,0.274432,11.3034
"doxy",12,-0.076217,-11.5698,-0.090628,-8.630877,-0.125561,-12.4046,0.034933,3.804778
"oxy",5,0,0,0,0,0,0,0,0
"doxy",5,0,0,0,0,0,0,0,0
"oxy",13,1.200223,48.10188,0.520289,13.08162,0.190902,4.979226,0.329387,9.471571
"doxy",13,0.115009,10.32084,-0.062286,-3.506631,-0.015301,-0.893611,-0.046985,-3.025234
"oxy",6,0.49106,33.86132,0.187652,8.117842,0.03619,1.624084,0.151463,7.493589
"doxy",6,0.096768,13.07118,-0.143524,-12.16256,-0.138663,-12.1898,-0.004861,-0.471091
"oxy",14,0.381407,31.41886,0.237932,12.29618,0.069828,3.74356,0.168103,9.935568
"doxy",14,0.220304,16.31481,-0.091421,-4.247373,-0.210528,-10.1466,0.119107,6.328665
"oxy",7,0.381746,29.87271,0.027124,1.331589,0.213251,10.86032,-0.186127,-10.45019
"doxy",7,0.100678,12.025,-0.244921,-18.35246,0.016154,1.255675,-0.261075,-22.37337
"oxy",15,0.433599,16.51485,0.524138,12.52415,0.184708,4.578496,0.33943,9.275802
"doxy",15,0.067523,5.428977,-0.035807,-1.806152,-0.017498,-0.915599,-0.018309,-1.056217
"oxy",8,0.428353,29.57087,0.134291,5.816034,0.09597,4.311709,0.038321,1.898092
"doxy",8,0.080645,10.80145,-0.023003,-1.932877,-0.067595,-5.892155,0.044593,4.285313
"oxy",16,0.447273,20.8298,0.224257,6.552006,-0.179716,-5.446913,0.403973,13.4983
"doxy",16,0.248436,21.38985,-0.026812,-1.448243,-0.191266,-10.7172,0.164454,10.159
