"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,33.63803,45.17784,2.059251,4.103315,2.059251,4.103315
"doxy",1,88.93457,56.24345,-1.6862,-1.582126,-1.6862,-1.582126
"oxy",9,-0.144435,-8.807119,0.188537,17.05645,0.188537,17.05645
"doxy",9,0.064697,7.59765,0.063809,11.11758,0.063809,11.11758
"oxy",2,0.028774,6.652999,-0.070167,-24.07035,-0.070167,-24.07035
"doxy",2,-0.041396,-6.134306,0.109433,24.0593,0.109433,24.0593
"oxy",10,-0.120559,-5.974721,0.212529,15.62667,0.212529,15.62667
"doxy",10,0.063307,10.42488,0.02955,7.219543,0.02955,7.219543
"oxy",3,0,0,0,0,0,0
"doxy",3,0,0,0,0,0,0
"oxy",11,-0.118186,-8.894017,0.082265,9.184966,0.082265,9.184966
"doxy",11,0.10797,24.53719,0.009673,3.261387,0.009673,3.261387
"oxy",4,-0.09876,-10.46845,0.118357,18.61338,0.118357,18.61338
"doxy",4,0.001749,0.299911,0.095928,24.4088,0.095928,24.4088
"oxy",12,0.001506,0.14899,0.101255,14.86393,0.101255,14.86393
"doxy",12,0.003112,0.815457,0.018386,7.148877,0.018386,7.148877
"oxy",5,0,0,0,0,0,0
"doxy",5,0,0,0,0,0,0
"oxy",13,-0.044001,-2.615295,0.115923,10.22248,0.115923,10.22248
"doxy",13,0.015472,3.243746,0.032832,10.21214,0.032832,10.21214
"oxy",6,-0.224776,-13.72925,0.187086,16.95387,0.187086,16.95387
"doxy",6,0.045469,8.928119,0.064847,18.89139,0.064847,18.89139
"oxy",14,0.040617,8.653714,-0.0185,-5.847814,-0.0185,-5.847814
"doxy",14,-0.02942,-2.789541,0.076221,10.72267,0.076221,10.72267
"oxy",7,-0.162298,-8.542807,0.16618,12.97766,0.16618,12.97766
"doxy",7,0.0206,1.87312,0.109713,14.80118,0.109713,14.80118
"oxy",15,0.244157,18.21747,0.069574,7.701902,0.069574,7.701902
"doxy",15,-0.04985,-6.935556,0.059062,12.19143,0.059062,12.19143
"oxy",8,-0.104383,-5.87757,0.085836,7.170801,0.085836,7.170801
"doxy",8,0.049716,8.763956,0.041187,10.77191,0.041187,10.77191
"oxy",16,-0.040135,-3.736586,0.077818,10.74884,0.077818,10.74884
"doxy",16,-0.167697,-24.44153,0.031355,6.780176,0.031355,6.780176
