"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,3.041934,15.96575,1.30459,10.09856,1.30459,10.09856
"doxy",1,5.07023,15.09556,1.807007,7.934642,1.807007,7.934642
"oxy",9,-0.190652,-7.768845,0.139394,8.377313,0.139394,8.377313
"doxy",9,-0.10207,-10.50375,-0.031734,-4.81628,-0.031734,-4.81628
"oxy",2,1.22689,29.40254,0.078648,2.779803,0.078648,2.779803
"doxy",2,0.011804,0.703184,0.015673,1.377084,0.015673,1.377084
"oxy",10,0.956072,20.00378,0.114577,3.535626,0.114577,3.535626
"doxy",10,0.085774,4.563733,-0.027199,-2.134315,-0.027199,-2.134315
"oxy",3,-4.734547,-19.64316,1.414371,8.654505,1.414371,8.654505
"doxy",3,-9.547973,-19.13825,1.107138,3.272947,1.107138,3.272947
"oxy",11,0.406521,12.40916,0.161437,7.267887,0.161437,7.267887
"doxy",11,0.387515,30.47798,-0.084808,-9.837427,-0.084808,-9.837427
"oxy",4,-0.139055,-5.162217,0.102214,5.596381,0.102214,5.596381
"doxy",4,-0.451121,-22.00026,0.067667,4.866964,0.067667,4.866964
"oxy",12,0.825216,32.04517,0.033915,1.942386,0.033915,1.942386
"doxy",12,0.183705,15.58883,-0.094427,-11.81772,-0.094427,-11.81772
"oxy",5,-3.41665,-18.33693,1.10623,8.756234,1.10623,8.756234
"doxy",5,-9.092625,-18.78333,1.910324,5.820177,1.910324,5.820177
"oxy",13,0.74002,26.61641,0.031441,1.667839,0.031441,1.667839
"doxy",13,0.291747,27.91442,-0.028136,-3.970346,-0.028136,-3.970346
"oxy",6,0.826023,34.50829,0.078465,4.834534,0.078465,4.834534
"doxy",6,0.048864,3.101118,0.036939,3.457446,0.036939,3.457446
"oxy",14,1.446675,58.73294,0.002336,0.139866,0.002336,0.139866
"doxy",14,0.773056,44.79628,-0.01208,-1.032379,-0.01208,-1.032379
"oxy",7,0.54132,16.78286,0.266147,12.1697,0.266147,12.1697
"doxy",7,0.287694,26.01953,0.038471,5.131517,0.038471,5.131517
"oxy",15,-0.369133,-37.3204,0.009355,1.394975,0.009355,1.394975
"doxy",15,0.588048,37.86502,-0.017789,-1.689321,-0.017789,-1.689321
"oxy",8,2.607785,47.58985,-0.039966,-1.075672,-0.039966,-1.075672
"doxy",8,1.081347,36.93325,-0.039812,-2.00543,-0.039812,-2.00543
"oxy",16,0.711043,38.77831,-0.037959,-3.053186,-0.037959,-3.053186
"doxy",16,0.232207,18.51977,-0.024753,-2.91163,-0.024753,-2.91163
