"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","task_Coef","task_Tstat","base_Coef","base_Tstat","task-base_GLT_Coef","task-base_GLT_Tstat"
"oxy",1,0.554573,35.43441,0.26592,7.759976,0.100457,2.475666,0.165463,7.006645
"doxy",1,-0.036664,-4.602867,-0.118231,-6.778974,-0.18089,-8.758897,0.062659,5.213328
"oxy",9,0.620352,60.58957,0.228689,10.20111,-0.204411,-7.700312,0.4331,28.03431
"doxy",9,0.084454,13.84294,0.007097,0.531317,-0.070952,-4.485553,0.078049,8.478493
"oxy",2,0.627039,52.57601,0.211192,8.087476,-0.096536,-3.121947,0.307728,17.10022
"doxy",2,-0.045762,-6.0646,-0.184424,-11.16231,-0.054557,-2.78861,-0.129867,-11.40606
"oxy",10,0.868861,48.94058,0.379253,9.756419,-0.09223,-2.003706,0.471483,17.60057
"doxy",10,0.220569,38.29184,0.053587,4.248731,0.07916,5.300455,-0.025574,-2.942368
"oxy",3,0.499464,33.3747,0.162734,4.966323,0.008404,0.216582,0.154331,6.834519
"doxy",3,-0.060084,-7.08357,-0.072874,-3.923841,-0.1626,-7.393663,0.089725,7.010564
"oxy",11,0.572276,51.32288,0.232138,9.50811,-0.106928,-3.69864,0.339066,20.15265
"doxy",11,0.115212,21.72561,0.029802,2.566646,0.003037,0.220896,0.026765,3.344917
"oxy",4,0.69134,53.6349,0.291507,10.32875,-0.038248,-1.144482,0.329755,16.95469
"doxy",4,-0.089014,-13.26319,-0.167302,-11.38504,-0.080979,-4.653814,-0.086323,-8.524302
"oxy",12,0.70744,48.75555,0.414778,13.05547,0.028596,0.760114,0.386182,17.6388
"doxy",12,0.230687,47.25842,0.069921,6.541977,0.048773,3.853737,0.021148,2.871265
"oxy",5,0.486388,14.49559,0.579324,7.885282,0.055023,0.632473,0.524301,10.35562
"doxy",5,-0.031255,-0.950531,0.161281,2.240133,0.055729,0.653695,0.105552,2.127435
"oxy",13,0.454761,52.66702,0.161977,8.567421,-0.092777,-4.144187,0.254753,19.55318
"doxy",13,0.129814,16.08371,-0.090691,-5.13179,-0.1023,-4.888569,0.011609,0.953213
"oxy",6,0.54736,14.2002,0.644298,7.633976,-0.032418,-0.324381,0.676716,11.63511
"doxy",6,-0.021437,-0.690916,0.253308,3.728693,0.130182,1.618306,0.123126,2.630012
"oxy",14,0.599811,50.82996,0.166074,6.4276,-0.167196,-5.464826,0.33327,18.71732
"doxy",14,0.154792,25.58624,-0.0797,-6.016717,-0.080825,-5.152871,0.001125,0.123236
"oxy",7,0.584364,19.9565,0.607642,9.477433,0.098169,1.293059,0.509473,11.53093
"doxy",7,0.054306,2.463598,0.07601,1.574843,-0.004211,-0.073683,0.080221,2.411877
"oxy",15,0.591781,69.17268,0.094751,5.058261,-0.220984,-9.962737,0.315735,24.45899
"doxy",15,0.163215,30.11324,-0.064212,-5.410728,-0.080078,-5.698412,0.015866,1.93999
"oxy",8,0.749952,21.21379,0.646568,8.352983,-0.092933,-1.013916,0.739501,13.86329
"doxy",8,0.005429,0.293859,0.13489,3.334365,0.321265,6.706566,-0.186376,-6.685322
"oxy",16,0.650143,38.22078,0.31819,8.543181,0.049293,1.117684,0.268897,10.47657
"doxy",16,0.184066,18.66952,0.079073,3.66293,0.181482,7.099694,-0.10241,-6.884048
