"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-0.045826,-8.306692,-0.053312,-12.49523,0.048344,10.66083,-0.053312,-12.49523,0.048344,10.66083,0.101656,18.81441,-0.004968,-0.714548
"doxy",1,0.113637,42.52296,0.026273,12.71198,-0.023571,-10.73038,0.026273,12.71198,-0.023571,-10.73038,-0.049844,-19.04394,0.002702,0.802194
"oxy",9,-0.035896,-5.303778,-0.07521,-14.36851,0.033916,6.096325,-0.07521,-14.36851,0.033916,6.096325,0.109125,16.46275,-0.041294,-4.841115
"doxy",9,0.120114,47.00758,0.030125,15.24418,-0.022058,-10.50198,0.030125,15.24418,-0.022058,-10.50198,-0.052183,-20.85183,0.008067,2.505045
"oxy",2,-0.002058,-0.259443,-0.01687,-2.749305,0.08211,12.59062,-0.01687,-2.749305,0.08211,12.59062,0.09898,12.73811,0.065241,6.524669
"doxy",2,0.130907,42.99002,0.008056,3.42062,-0.017421,-6.960164,0.008056,3.42062,-0.017421,-6.960164,-0.025477,-8.542669,-0.009366,-2.440454
"oxy",10,0.005471,0.568258,-0.098055,-13.1691,0.069033,8.723184,-0.098055,-13.1691,0.069033,8.723184,0.167088,17.72031,-0.029022,-2.391829
"doxy",10,0.106151,32.74243,-0.00505,-2.013913,0.003581,1.343696,-0.00505,-2.013913,0.003581,1.343696,0.00863,2.718044,-0.001469,-0.359459
"oxy",3,-0.103351,-17.96363,-0.063662,-14.30746,0.067512,14.27557,-0.063662,-14.30746,0.067512,14.27557,0.131175,23.27924,0.00385,0.530957
"doxy",3,0.108921,39.34652,0.033734,15.75653,-0.029573,-12.99642,0.033734,15.75653,-0.029573,-12.99642,-0.063307,-23.34995,0.004161,1.192538
"oxy",11,0.036191,5.894848,-0.111457,-23.47357,0.081703,16.18972,-0.111457,-23.47357,0.081703,16.18972,0.193161,32.12384,-0.029754,-3.845381
"doxy",11,0.075227,28.37259,0.014909,7.270819,-0.007359,-3.376331,0.014909,7.270819,-0.007359,-3.376331,-0.022268,-8.575156,0.007551,2.259643
"oxy",4,-0.072934,-10.75818,0.013566,2.587343,0.145879,26.17768,0.013566,2.587343,0.145879,26.17768,0.132313,19.92738,0.159445,18.66116
"doxy",4,0.162598,56.55722,0.02653,11.93181,-0.014677,-6.210703,0.02653,11.93181,-0.014677,-6.210703,-0.041207,-14.63459,0.011853,3.27124
"oxy",12,0.046594,5.248313,-0.151375,-22.04697,0.105702,14.48466,-0.151375,-22.04697,0.105702,14.48466,0.257078,29.5663,-0.045673,-4.082006
"doxy",12,0.056888,12.07592,-0.009059,-2.486404,0.001276,0.329507,-0.009059,-2.486404,0.001276,0.329507,0.010335,2.239958,-0.007783,-1.310871
"oxy",5,0.371077,26.61291,-0.146223,-13.55954,-0.094717,-8.263992,-0.146223,-13.55954,-0.094717,-8.263992,0.051505,3.771566,-0.24094,-13.71069
"doxy",5,0.482366,36.25822,-0.072362,-7.033038,-0.260543,-23.82541,-0.072362,-7.033038,-0.260543,-23.82541,-0.188181,-14.44258,-0.332905,-19.85508
"oxy",13,-0.062264,-9.090717,-0.095105,-17.95416,0.043323,7.69499,-0.095105,-17.95416,0.043323,7.69499,0.138428,20.63592,-0.051782,-5.998776
"doxy",13,0.109638,29.14699,0.00348,1.19632,-0.012274,-3.969758,0.00348,1.19632,-0.012274,-3.969758,-0.015755,-4.276435,-0.008794,-1.855011
"oxy",6,0.24757,25.90471,-0.087875,-11.88912,-0.045706,-5.818139,-0.087875,-11.88912,-0.045706,-5.818139,0.04217,4.505266,-0.133581,-11.09042
"doxy",6,0.548625,45.94193,-0.062071,-6.720789,-0.198038,-20.17504,-0.062071,-6.720789,-0.198038,-20.17504,-0.135968,-11.62545,-0.260109,-17.28265
"oxy",14,-0.083338,-9.192715,-0.054693,-7.800668,0.02115,2.838126,-0.054693,-7.800668,0.02115,2.838126,0.075842,8.54185,-0.033543,-2.93581
"doxy",14,0.08524,26.18688,0.029608,11.76117,-0.00154,-0.575411,0.029608,11.76117,-0.00154,-0.575411,-0.031148,-9.77023,0.028068,6.841942
"oxy",7,0.349799,26.23134,-0.102353,-9.92444,-0.118619,-10.82153,-0.102353,-9.92444,-0.118619,-10.82153,-0.016266,-1.245418,-0.220973,-13.14808
"doxy",7,0.336032,29.40554,-0.066664,-7.542908,-0.210029,-22.35934,-0.066664,-7.542908,-0.210029,-22.35934,-0.143365,-12.80951,-0.276693,-19.21177
"oxy",15,-0.048398,-5.363048,-0.132461,-18.97889,0.078441,10.5744,-0.132461,-18.97889,0.078441,10.5744,0.210902,23.86174,-0.05402,-4.749612
"doxy",15,0.171642,56.27865,-0.03453,-14.63912,0.006562,2.617685,-0.03453,-14.63912,0.006562,2.617685,0.041092,13.75687,-0.027967,-7.275994
"oxy",8,0.174076,17.70377,-0.045485,-5.981362,-0.011136,-1.377784,-0.045485,-5.981362,-0.011136,-1.377784,0.034349,3.566877,-0.056621,-4.569069
