"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","feel_Coef","feel_Tstat","supp_Coef","supp_Tstat","feel-rest_GLT_Coef","feel-rest_GLT_Tstat","supp-rest_GLT_Coef","supp-rest_GLT_Tstat","supp-feel_GLT_Coef","supp-feel_GLT_Tstat","task-rest_GLT_Coef","task-rest_GLT_Tstat"
"oxy",1,-0.008548,-0.717788,-0.049406,-4.920875,0.015592,1.524285,-0.049406,-4.920875,0.015592,1.524285,0.064999,5.449427,-0.033814,-2.063131
"doxy",1,-0.013045,-2.962486,-0.054232,-14.60846,0.018693,4.942061,-0.054232,-14.60846,0.018693,4.942061,0.072925,16.53515,-0.03554,-5.86452
"oxy",9,-0.068567,-8.347906,-0.029496,-4.259461,-0.03779,-5.356395,-0.029496,-4.259461,-0.03779,-5.356395,-0.008295,-1.008304,-0.067286,-5.952427
"doxy",9,0.03368,8.847456,-0.063174,-19.68422,0.007984,2.441689,-0.063174,-19.68422,0.007984,2.441689,0.071158,18.66334,-0.05519,-10.53446
"oxy",2,0.025365,1.539831,-0.064947,-4.676584,-0.01263,-0.892625,-0.064947,-4.676584,-0.01263,-0.892625,0.052317,3.171013,-0.077577,-3.421959
"doxy",2,-0.12791,-29.72783,-0.025092,-6.917195,0.002924,0.791198,-0.025092,-6.917195,0.002924,0.791198,0.028016,6.501135,-0.022168,-3.743608
"oxy",10,0.175853,12.77825,-0.057977,-4.996991,-0.075079,-6.351358,-0.057977,-4.996991,-0.075079,-6.351358,-0.017102,-1.240781,-0.133056,-7.025224
"doxy",10,0.112738,22.95566,-0.089484,-21.61216,-0.061939,-14.68283,-0.089484,-21.61216,-0.061939,-14.68283,0.027545,5.599936,-0.151423,-22.40351
"oxy",3,0.032815,2.513146,-0.065233,-5.925829,-0.002856,-0.254688,-0.065233,-5.925829,-0.002856,-0.254688,0.062376,4.769677,-0.068089,-3.789078
"doxy",3,0.009887,1.950199,-0.067255,-15.73602,0.021206,4.870003,-0.067255,-15.73602,0.021206,4.870003,0.088462,17.42249,-0.046049,-6.600232
"oxy",11,-0.003858,-1.847395,0.0366,20.7879,-1.56753e-05,-0.008738,0.0366,20.7879,-1.56753e-05,-0.008738,-0.036616,-17.50584,0.036585,12.72906
"doxy",11,0.013336,3.280065,-0.072367,-21.1119,-0.011883,-3.402581,-0.072367,-21.1119,-0.011883,-3.402581,0.060484,14.85296,-0.08425,-15.05667
"oxy",4,0.049781,3.578513,-0.060235,-5.135952,0.02801,2.344141,-0.060235,-5.135952,0.02801,2.344141,0.088245,6.333591,-0.032225,-1.683185
"doxy",4,-0.046063,-15.97569,-0.046176,-18.99562,-0.005292,-2.136547,-0.046176,-18.99562,-0.005292,-2.136547,0.040884,14.15734,-0.051467,-12.97007
"oxy",12,0.093427,6.958073,-0.046717,-4.126866,-0.117999,-10.23106,-0.046717,-4.126866,-0.117999,-10.23106,-0.071283,-5.300505,-0.164716,-8.913647
"doxy",12,0.130037,22.11612,-0.148279,-29.91258,-0.097696,-19.34387,-0.148279,-29.91258,-0.097696,-19.34387,0.050583,8.589477,-0.245975,-30.39741
"oxy",5,-0.062163,-5.148903,-0.003777,-0.371105,-0.032606,-3.144141,-0.003777,-0.371105,-0.032606,-3.144141,-0.028828,-2.384087,-0.036383,-2.189704
"doxy",5,0.068644,8.920118,-0.085384,-13.16058,-0.102616,-15.52418,-0.085384,-13.16058,-0.102616,-15.52418,-0.017232,-2.235791,-0.188,-17.75126
"oxy",13,-0.000943,-0.09832,0.051654,6.387089,-0.001428,-0.173306,0.051654,6.387089,-0.001428,-0.173306,-0.053082,-5.525001,0.050226,3.804517
"doxy",13,-0.002713,-0.493898,-0.13418,-28.97638,0.026953,5.712974,-0.13418,-28.97638,0.026953,5.712974,0.161133,29.29058,-0.107226,-14.18505
"oxy",6,-0.122179,-13.74989,0.039991,5.338202,-0.049209,-6.447234,0.039991,5.338202,-0.049209,-6.447234,-0.089199,-10.02272,-0.009218,-0.753801
"doxy",6,0.065366,12.89374,0.010863,2.54151,-0.041888,-9.619342,0.010863,2.54151,-0.041888,-9.619342,-0.052751,-10.38903,-0.031026,-4.446857
"oxy",14,0.026726,2.973866,0.039319,5.189605,-0.022235,-2.88049,0.039319,5.189605,-0.022235,-2.88049,-0.061555,-6.838737,0.017084,1.381299
"doxy",14,-0.035855,-8.872245,-0.081812,-24.01248,0.039961,11.51206,-0.081812,-24.01248,0.039961,11.51206,0.121774,30.08558,-0.041851,-7.524793
"oxy",7,-0.07075,-6.86485,0.032681,3.761282,-0.005702,-0.644065,0.032681,3.761282,-0.005702,-0.644065,-0.038383,-3.718441,0.02698,1.90215
"doxy",7,0.023842,3.644334,-0.045009,-8.160333,-0.10561,-18.79343,-0.045009,-8.160333,-0.10561,-18.79343,-0.060601,-9.248542,-0.15062,-16.7286
"oxy",15,-0.032055,-3.164168,0.054268,6.353939,0.004283,0.492203,0.054268,6.353939,0.004283,0.492203,-0.049985,-4.926344,0.058551,4.199577
"doxy",15,-0.097704,-26.18816,-0.084616,-26.90163,0.000989,0.30854,-0.084616,-26.90163,0.000989,0.30854,0.085604,22.90921,-0.083627,-16.28716
"oxy",8,0.099825,8.17965,0.04831,4.695296,0.025879,2.468673,0.04831,4.695296,0.025879,2.468673,-0.022431,-1.83512,0.074188,4.417089
"doxy",8,0.024447,3.702797,-0.020904,-3.755569,-0.069596,-12.27218,-0.020904,-3.755569,-0.069596,-12.27218,-0.048692,-7.36355,-0.0905,-9.960131
"oxy",16,0.037811,3.100404,-0.006064,-0.589741,-0.109563,-10.45908,-0.006064,-0.589741,-0.109563,-10.45908,-0.1035,-8.473462,-0.115627,-6.889151
"doxy",16,-0.075659,-12.76158,-0.098529,-19.71261,-0.043897,-8.619975,-0.098529,-19.71261,-0.043897,-8.619975,0.054632,9.200579,-0.142426,-17.45583
