"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.177252,-29.14726,0.096825,23.51108,0.096825,23.51108
"doxy",1,0.022167,7.541128,-0.034829,-17.49668,-0.034829,-17.49668
"oxy",9,-0.137565,-16.00037,0.095879,16.46738,0.095879,16.46738
"doxy",9,0.032547,10.7655,0.082473,40.28172,0.082473,40.28172
"oxy",2,-0.062174,-10.30839,0.115459,28.26752,0.115459,28.26752
"doxy",2,-0.018286,-6.110548,-0.024968,-12.32005,-0.024968,-12.32005
"oxy",10,-0.173535,-15.41216,0.159549,20.92415,0.159549,20.92415
"doxy",10,-0.00913,-2.377082,0.08029,30.86923,0.08029,30.86923
"oxy",3,-0.102418,-16.88282,0.044692,10.8786,0.044692,10.8786
"doxy",3,0.023495,9.201894,0.014396,8.325547,0.014396,8.325547
"oxy",11,-0.114295,-14.40464,0.098391,18.31091,0.098391,18.31091
"doxy",11,0.059686,15.58061,0.058613,22.59352,0.058613,22.59352
"oxy",4,-0.036788,-6.588833,0.101076,26.73207,0.101076,26.73207
"doxy",4,0.056786,20.69613,-0.027219,-14.64859,-0.027219,-14.64859
"oxy",12,-0.252291,-22.79414,0.166207,22.17422,0.166207,22.17422
"doxy",12,-0.084149,-17.20292,0.081308,24.54521,0.081308,24.54521
"oxy",5,-0.825868,-50.76636,0.035751,3.245139,0.035751,3.245139
"doxy",5,-0.653996,-52.69875,0.223563,26.60135,0.223563,26.60135
"oxy",13,-0.107466,-16.52246,0.142926,32.44854,0.142926,32.44854
"doxy",13,0.101529,27.5152,-0.010756,-4.304272,-0.010756,-4.304272
"oxy",6,-0.461588,-35.53485,0.115052,13.07887,0.115052,13.07887
"doxy",6,-0.378607,-46.24957,0.049977,9.015036,0.049977,9.015036
"oxy",14,-0.027492,-4.687981,0.116136,29.24335,0.116136,29.24335
"doxy",14,0.085915,30.48066,0.018878,9.889911,0.018878,9.889911
"oxy",7,-0.693291,-43.21661,0.142359,13.10384,0.142359,13.10384
"doxy",7,-0.496,-41.25089,0.178163,21.87996,0.178163,21.87996
"oxy",15,-0.144114,-27.20628,0.096724,26.96348,0.096724,26.96348
"doxy",15,0.111045,34.13807,-0.006229,-2.827793,-0.006229,-2.827793
"oxy",8,-0.47909,-36.49992,0.178765,20.11104,0.178765,20.11104
"doxy",8,-0.512809,-48.82573,0.054245,7.626623,0.054245,7.626623
"oxy",16,0.02412,2.706766,-0.008086,-1.339922,-0.008086,-1.339922
"doxy",16,0.014223,2.546448,-0.03571,-9.441113,-0.03571,-9.441113
