"oxy/doxy","channel","RunPol_Coef","RunPol_Tstat","stroop_Coef","stroop_Tstat","stroop-rest_GLT_Coef","stroop-rest_GLT_Tstat"
"oxy",1,-0.070261,-7.053839,0.326323,48.28354,0.326323,48.28354
"doxy",1,-0.035146,-8.185099,0.094754,32.52247,0.094754,32.52247
"oxy",9,-0.199596,-17.06368,0.220454,27.77651,0.220454,27.77651
"doxy",9,-0.112934,-25.34554,0.117989,39.02618,0.117989,39.02618
"oxy",2,-0.267094,-18.60455,0.489483,50.24942,0.489483,50.24942
"doxy",2,-0.090268,-11.3495,0.204156,37.83065,0.204156,37.83065
"oxy",10,-0.484042,-29.56913,0.278468,25.07094,0.278468,25.07094
"doxy",10,0.02445,3.627608,0.146568,32.0495,0.146568,32.0495
"oxy",3,-0.034378,-3.614304,0.25855,40.06139,0.25855,40.06139
"doxy",3,-0.039957,-9.285151,0.015646,5.35864,0.015646,5.35864
"oxy",11,-0.157316,-14.10171,0.19775,26.12486,0.19775,26.12486
"doxy",11,-0.089251,-19.70017,0.084326,27.43186,0.084326,27.43186
"oxy",4,-0.347868,-30.44996,0.338992,43.73214,0.338992,43.73214
"doxy",4,0.029209,5.601593,0.131409,37.1418,0.131409,37.1418
"oxy",12,-0.340208,-28.19071,0.236327,28.86119,0.236327,28.86119
"doxy",12,-0.071,-16.79763,0.080716,28.14442,0.080716,28.14442
"oxy",5,-0.688107,-26.21601,0.420452,23.60837,0.420452,23.60837
"doxy",5,-0.609903,-25.03338,0.385538,23.32195,0.385538,23.32195
"oxy",13,-0.191581,-16.65546,0.217583,27.87849,0.217583,27.87849
"doxy",13,0.074151,16.59101,0.036017,11.87698,0.036017,11.87698
"oxy",6,-0.468572,-26.03216,0.274392,22.46697,0.274392,22.46697
"doxy",6,-0.198678,-13.3509,0.14475,14.33566,0.14475,14.33566
"oxy",14,-0.427145,-34.41561,0.297034,35.27162,0.297034,35.27162
"doxy",14,0.084029,16.46474,0.171867,49.63138,0.171867,49.63138
"oxy",7,-0.689288,-22.3243,0.591235,28.22124,0.591235,28.22124
"doxy",7,-0.572723,-23.64127,0.370207,22.52218,0.370207,22.52218
"oxy",15,-0.322511,-22.83214,0.182795,19.0724,0.182795,19.0724
"doxy",15,0.16345,50.13802,0.023174,10.47672,0.023174,10.47672
"oxy",8,-0.586655,-26.32556,0.415343,27.46888,0.415343,27.46888
"doxy",8,-0.255492,-13.56957,0.254549,19.92508,0.254549,19.92508
"oxy",16,-0.597817,-38.61333,0.07466,7.107174,0.07466,7.107174
"doxy",16,0.235073,42.28234,0.03768,9.988611,0.03768,9.988611
